DonorB_D_2013.mp.profile_sp	DonorB_D_2016.mp.profile_sp	DonorB_D_May17.mp.profile_sp	DonorB_D_Oct17.mp.profile_sp	DonorB_P10.mp.profile_sp	DonorB_P11.mp.profile_sp	DonorB_P12.mp.profile_sp	DonorB_P13.mp.profile_sp	DonorB_P1.mp.profile_sp	DonorB_P2.mp.profile_sp	DonorB_P3.mp.profile_sp	DonorB_P4.mp.profile_sp	DonorB_P5.mp.profile_sp	DonorB_P6.mp.profile_sp	DonorB_P7.mp.profile_sp	DonorB_P8.mp.profile_sp	DonorB_P9.mp.profile_sp	PMCL293_S293.mp.profile_sp	PMCL297_S294.mp.profile_sp	PMCL356.mp.profile_sp	PMCL360.mp.profile_sp	PMCL380.mp.profile_sp	PMCL385.mp.profile_sp	PMCL399_S310.mp.profile_sp	PMCL402_S311.mp.profile_sp	PMCL634_S291.mp.profile_sp	PMCL635_S292.mp.profile_sp	PMCL636_S295.mp.profile_sp	PMCL637_S296.mp.profile_sp	PMCL656.mp.profile_sp	PMCL657.mp.profile_sp	PMCL662_S297.mp.profile_sp	PMCL663_S298.mp.profile_sp	PMCL683_S299.mp.profile_sp	PMCL684_S300.mp.profile_sp	PMCL706_S301.mp.profile_sp	PMCL708_S302.mp.profile_sp	PMCL718_S303.mp.profile_sp	PMCL719_S304.mp.profile_sp	PMCL720.mp.profile_sp	PMCL721.mp.profile_sp	PMCL726.mp.profile_sp	PMCL727.mp.profile_sp	PMCL730_S311.mp.profile_sp	PMCL731_S312.mp.profile_sp	PMCL734_S305.mp.profile_sp	PMCL735_S306.mp.profile_sp	PMCL740_S313.mp.profile_sp	PMCL741_S314.mp.profile_sp	PMCL796.mp.profile_sp	PMCL797.mp.profile_sp	PMCL800.mp.profile_sp	PMCL801.mp.profile_sp	PMCL805_S307.mp.profile_sp	PMCL806_S308.mp.profile_sp	PMCL813.mp.profile_sp	PMCL817.mp.profile_sp	PMCL818.mp.profile_sp	PMCL820_S309.mp.profile_sp	PMCL821_S310.mp.profile_sp	PMCL822.mp.profile_sp	PMCL823.mp.profile_sp	PMCL824.mp.profile_sp	PMCL825.mp.profile_sp	PMCL883.mp.profile_sp
DonorB_D_2013.mp.profile_sp	0	33.2830609290271	38.9922508089945	39.4345227451157	33.140046852829	34.2408169198922	32.8493048265741	31.4389723746346	37.5024774235914	35.6286721805727	35.4806830369736	37.341924346274	34.4487868047563	36.4683173558356	40.254815227194	37.6529131936879	38.5984723878936	33.5448326697024	30.6438596138413	36.1576620553084	38.8744032695077	32.7626565359757	38.6225045691154	32.2682249090286	31.3138535776772	37.4759309272465	38.7005314007346	32.117364238313	34.5367401995237	38.9205990705305	36.9761265773067	32.4705667822076	30.7411790216146	30.5922185936526	33.2802343311422	28.4342939160544	32.4059606569624	30.1832802566298	31.2401556416401	31.8006849329669	33.5916200151818	36.936368372456	34.9159099324942	43.0710628511523	43.9053770560111	35.1155331431692	37.5320612606003	31.3463106472956	32.4405695355395	31.9370703765436	33.1930246594373	32.795976074345	31.8596409857544	37.3185550809143	32.9667540061564	33.9412630410328	29.9123715861271	30.993176109298	33.2297645146926	31.301494272497	34.1825706837198	34.2228908709865	33.4958894681226	34.9377614214833	30.0905694009862
DonorB_D_2016.mp.profile_sp	33.2830609290271	0	37.7585031904181	41.478007849331	30.8864226280047	34.0491000797739	32.2360696275339	33.0601776363929	37.3909217885602	34.6097888569617	35.8584550297481	38.0586793679937	34.5824881715457	35.179148375739	41.1929300484109	36.9761977544681	36.0795468697067	32.8446655278966	30.0065164469068	37.3521983446935	40.9100829057704	33.0077673888066	41.4131485717565	32.4108093865065	32.0709513430678	38.0455339027774	37.9515963691308	31.5508068451916	34.1019034289209	39.0557994719648	37.3118723176811	31.3012078579123	30.3119927182503	30.1299836787724	31.6525291201817	28.1386403010971	31.9602189707445	29.4861668954617	30.9294071712566	32.1023001800833	33.2130790367834	34.8780564016485	35.4345911136107	40.1805527852414	43.248577967387	35.4063141238839	37.652413675636	30.463931538847	32.3052739688308	32.3997171946105	32.6580883410926	31.4059756978972	30.6049043841878	37.3688544252216	32.2161953114608	35.481835741816	29.8571548855336	30.177825646614	32.4286703022412	31.3809666883844	33.4299277488913	34.2508773932787	32.9458093194779	33.0957916533247	30.9398120590291
DonorB_D_May17.mp.profile_sp	38.9922508089945	37.7585031904181	0	38.611270605926	33.1615333696785	34.1315054994454	33.6234414857102	33.5334312921475	38.0098571924447	34.1278050292131	36.0861240959745	39.1426200340589	34.4173668153296	38.0603258748765	41.6918016141982	37.3542141485344	36.4563298738897	34.0572863853949	29.7221389006286	35.3451054991984	38.3957083338994	33.0578693456054	39.5904963063436	34.4014800583883	32.104620989168	37.5371085006524	37.2665218612139	33.2563034933773	34.5527763507869	38.7359646095552	36.4109300568694	32.6171166354422	31.2511026532521	30.8566658287787	33.0383769756819	28.6284525153269	32.092147392691	30.9598944867253	31.8620934812912	32.3894095694188	34.3237370280277	36.2935937389407	35.6673255116795	40.87232637391	44.7788747180141	36.0529048307597	38.1842336693567	31.6024903631109	33.0153092194192	31.8141924672294	32.9955511550782	33.3353945145846	33.2683375070218	38.3412057968454	32.6393831877681	35.5229190807119	30.175504595251	30.797417543059	33.3351699385617	32.7547454878853	35.128488928569	35.6322714931624	33.937634245555	35.3166626278408	31.4193932724077
DonorB_D_Oct17.mp.profile_sp	39.4345227451157	41.478007849331	38.611270605926	0	33.9697758466021	33.3240169402118	33.3943772514014	33.2262314983937	36.6132155063422	34.7888201556915	37.0009932302453	37.9904664746122	35.069003309469	36.1325201279876	39.2171093373922	35.1934621458621	35.6494107194694	33.6532797801557	29.9054270317105	34.68679638941	36.965815451902	34.2164857725965	36.1750726765846	33.1037336003234	31.7013138159109	38.2255288238105	38.3844392242766	33.3305370443177	35.1764465633217	37.6283302482567	37.4778507474942	32.1992504813503	31.4930842620732	30.4844666167972	33.4161289094937	29.2033018128834	33.2616489039397	29.8491205175528	31.8868196055371	32.8284147740136	35.8182988020705	38.972959543597	37.7024046937359	42.5162884788909	42.9951351456813	36.9690493809694	39.2076489775204	31.4228861570409	31.6453658148123	33.4119606345256	34.7669759075853	34.8230453313751	34.5370779700625	39.2551703542559	34.0812905696428	37.0751565340667	30.1581395915146	31.0723857574598	32.9314654919956	32.3818080011297	35.3863165132071	35.4018405998484	35.3502645188234	38.4792884652336	31.7500068462602
DonorB_P10.mp.profile_sp	33.140046852829	30.8864226280047	33.1615333696785	33.9697758466021	0	24.1678948200681	22.9704963467862	24.1294483539241	28.1035961348737	27.5555428658838	29.3946776198004	29.5484691844706	23.2337324460483	27.3915037295354	33.8593160246593	26.8922877898609	26.3022118609285	22.5808045179036	17.916359859362	27.2502442435422	30.0327720954226	23.8063549181465	33.23304793162	24.0364978970575	20.5108208098589	32.328473816979	31.4371239346052	22.5095202193986	25.6793493705455	30.024777627765	29.2201599636207	20.9010125017341	19.008397903792	19.1055643222566	22.4502687599868	16.8310125768558	20.4883460715949	18.3133588309588	19.809525521188	21.1346577370816	24.206373404104	27.2933769541045	27.2152405571957	34.5156667002401	37.3640504029274	25.9655007259377	29.1820300007495	19.9834203095234	21.3815107293268	22.1442370504909	23.296792730874	23.8623003488522	23.4897417632789	28.9985220127078	23.375083235203	26.8688008900155	19.3740675677463	19.4204813488401	22.4888543794894	21.6426221454077	23.726413987866	24.1570428734868	25.6731741454907	26.4414229940372	20.5382016034844
DonorB_P11.mp.profile_sp	34.2408169198922	34.0491000797739	34.1315054994454	33.3240169402118	24.1678948200681	0	23.3971254992217	25.635359002309	26.9920326271817	27.9033876729253	29.8896103665937	30.2816133045958	23.726045756832	27.3052477144204	31.6430772899594	27.0854500291672	26.5254894256103	22.4579248906814	17.788130078119	27.0063189792266	31.6273948465321	25.7025618660109	31.5508087624417	25.9262821269714	22.8884927621541	33.5908941549678	32.6124995673779	25.792473221684	27.506115037992	32.3408048295696	31.7432453932396	22.9138278805637	21.341037816358	19.9654220820118	23.1091498368706	18.4707313230248	22.6718822240365	18.8784562489076	21.4252206433857	22.8866614825595	26.1472874877621	28.9787495812802	28.3372615086523	35.6021015319236	37.6059001616186	28.5277551137597	31.8761623091557	21.4927965986059	22.1926679406469	24.0487522820084	25.5943506036081	25.7084400594796	25.3667652114836	30.4191523110425	25.2149953622121	27.5916348257453	20.5295718628429	21.1857819015603	24.1987961423547	23.520502842647	25.3259733954432	25.4686065525772	26.0207529355209	27.6113947007452	23.3205265950669
DonorB_P12.mp.profile_sp	32.8493048265741	32.2360696275339	33.6234414857102	33.3943772514014	22.9704963467862	23.3971254992217	0	22.1566469436121	28.9575955699685	26.0624901682439	27.5886258052125	31.2969482575104	22.2785063466319	27.4948715947854	34.6739776479484	27.6674511848993	27.3545104919832	21.7142015467658	15.8269680599359	26.6186010723027	30.6475577764403	23.451045476136	31.3398290751396	24.1862256244592	21.4342071699924	30.9797391057916	31.3826463442437	22.9136143162093	25.5057462670907	29.8205189531403	28.7794774391989	21.0016709255851	19.2206915560401	18.4914365359953	22.0697942798338	16.591659720498	21.6288144762579	18.38402608523	20.0830887327309	21.8170038276326	24.6331387033747	27.3313723186704	26.1597691949819	33.8605214181982	36.9954825537398	25.7675879632703	29.7270921633474	20.6422418683753	20.8482971906363	23.0372575354805	23.8710880332808	22.8636203097032	21.8160401784518	27.6593837269669	21.5820595934445	26.2185830723517	19.378124372833	19.2553905840668	22.4044022941962	21.253866717762	23.3302246631339	23.5709477146133	25.4611250551897	26.3470658199318	19.977658773959
DonorB_P13.mp.profile_sp	31.4389723746346	33.0601776363929	33.5334312921475	33.2262314983937	24.1294483539241	25.635359002309	22.1566469436121	0	28.2334054199956	26.1983956599659	27.5419624666374	28.6854955744765	26.682069419355	27.357146644539	32.293959614421	29.2547364647465	28.5030036989414	22.9567911746973	18.5737107859758	25.7589643651914	30.0457387521401	23.4730900495942	30.8470496271863	24.8127246851637	20.3918769871746	31.9260806309867	31.6896458588337	22.1150072311474	26.1627347066293	30.8600417699103	29.3768930447714	21.7316567426263	18.8633785332861	19.2548103482879	24.0800032610871	17.6671801282067	21.4829112655553	20.1124074698799	21.0529646249629	20.7897960963904	25.0239215932673	27.6527470820639	27.8751241411789	35.3511046753026	36.9206242952029	26.2685726008432	28.5736591410063	20.693316501008	22.7546712419216	24.4143133540928	25.8984623413646	24.0565176265588	23.3578236677392	28.4488423328454	23.1438417816718	26.283778078482	20.5734480800509	20.0358026503385	22.2494668745056	20.7083222596114	23.9073517777909	23.5507393932537	26.0892874483254	27.1169387520523	20.7256127726725
DonorB_P1.mp.profile_sp	37.5024774235914	37.3909217885602	38.0098571924447	36.6132155063422	28.1035961348737	26.9920326271817	28.9575955699685	28.2334054199956	0	26.6587942965604	28.8264798230908	31.0337033385675	32.4283953733966	23.652553558887	32.7803992831151	24.7289480778038	26.9601504196703	27.8354577092472	23.1050164142723	33.0635613620184	36.5812875714688	30.054145583433	35.220335572946	29.5090359566843	28.3192031589498	37.9247433477866	37.0898468229919	27.6991653321746	32.2940488897549	35.7545935186864	34.8517562154583	25.1906414802122	25.5128318339832	24.3954839494033	28.3965486915983	22.833078569299	26.6422164557095	23.0811746383556	23.9301636011154	28.7312895568941	30.7432056442441	32.4118861851869	31.4878550986389	38.8492082645366	40.0592130765734	30.2660328629291	33.4658951227998	25.681962217952	26.2411052326895	28.5620802070182	29.1201250225177	29.9811254810586	30.9029423139885	31.6237078369813	27.1311554835079	32.0717134549951	25.1611722097017	23.855776951792	27.3949174988172	27.8749423159251	28.0032761170958	28.6323952705911	30.4955615359345	31.630703497623	27.8973842575366
DonorB_P2.mp.profile_sp	35.6286721805727	34.6097888569617	34.1278050292131	34.7888201556915	27.5555428658838	27.9033876729253	26.0624901682439	26.1983956599659	26.6587942965604	0	24.701982234721	31.55323283979	31.7249490080563	27.4002222494828	36.23188317084	25.9027718615883	26.0715578420333	25.2060970739231	21.1536048024167	31.697720177108	33.4838445990264	27.2076776837893	35.0211956735904	25.5418021183198	26.0577597733812	34.8299708575653	34.5156353415886	25.7802078646753	29.0516702664963	33.6093932584526	33.8247629924094	23.6281404786216	24.2675701027002	23.1389311608891	25.9689108399646	20.5192051198719	24.5240539254283	21.6188838912529	23.2341032823555	28.0946993139675	29.2112377679414	29.9119981557433	28.2919070827065	35.7704691888656	38.1131241831554	29.4237816876289	32.9521174394043	24.3218619026005	25.5838387033775	25.9156660521385	26.1470573369006	27.6604001653601	28.7779873687891	30.8555713596344	25.8332497379145	30.2039145408316	22.6198313084393	22.5355325538155	25.1260724276309	25.4484542416439	26.5444481987607	26.4164836829649	26.9656003241304	29.2471019274428	24.7918890233091
