DonorB_D_2013.mp.profile_sp	DonorB_D_2016.mp.profile_sp	DonorB_D_May17.mp.profile_sp	DonorB_D_Oct17.mp.profile_sp	DonorB_P10.mp.profile_sp	DonorB_P11.mp.profile_sp	DonorB_P12.mp.profile_sp	DonorB_P13.mp.profile_sp	DonorB_P1.mp.profile_sp	DonorB_P2.mp.profile_sp	DonorB_P3.mp.profile_sp	DonorB_P4.mp.profile_sp	DonorB_P5.mp.profile_sp	DonorB_P6.mp.profile_sp	DonorB_P7.mp.profile_sp	DonorB_P8.mp.profile_sp	DonorB_P9.mp.profile_sp	PMCL293_S293.mp.profile_sp	PMCL297_S294.mp.profile_sp	PMCL356.mp.profile_sp	PMCL360.mp.profile_sp	PMCL380.mp.profile_sp	PMCL385.mp.profile_sp	PMCL399_S310.mp.profile_sp	PMCL402_S311.mp.profile_sp	PMCL634_S291.mp.profile_sp	PMCL635_S292.mp.profile_sp	PMCL636_S295.mp.profile_sp	PMCL637_S296.mp.profile_sp	PMCL656.mp.profile_sp	PMCL657.mp.profile_sp	PMCL662_S297.mp.profile_sp	PMCL663_S298.mp.profile_sp	PMCL683_S299.mp.profile_sp	PMCL684_S300.mp.profile_sp	PMCL706_S301.mp.profile_sp	PMCL708_S302.mp.profile_sp	PMCL718_S303.mp.profile_sp	PMCL719_S304.mp.profile_sp	PMCL720.mp.profile_sp	PMCL721.mp.profile_sp	PMCL726.mp.profile_sp	PMCL727.mp.profile_sp	PMCL730_S311.mp.profile_sp	PMCL731_S312.mp.profile_sp	PMCL734_S305.mp.profile_sp	PMCL735_S306.mp.profile_sp	PMCL740_S313.mp.profile_sp	PMCL741_S314.mp.profile_sp	PMCL796.mp.profile_sp	PMCL797.mp.profile_sp	PMCL800.mp.profile_sp	PMCL801.mp.profile_sp	PMCL805_S307.mp.profile_sp	PMCL806_S308.mp.profile_sp	PMCL813.mp.profile_sp	PMCL817.mp.profile_sp	PMCL818.mp.profile_sp	PMCL820_S309.mp.profile_sp	PMCL821_S310.mp.profile_sp	PMCL822.mp.profile_sp	PMCL823.mp.profile_sp	PMCL824.mp.profile_sp	PMCL825.mp.profile_sp	PMCL883.mp.profile_sp
DonorB_D_2013.mp.profile_sp	0	0.564716708820822	0.675719048642141	0.805474270821141	0.942432108635184	0.933688190053228	0.99784760010762	0.95199020240049	0.855778049522317	0.896390510360949	0.813153709342314	0.891280105435994	0.910046882009376	0.816065245983688	0.882642976528596	0.8173319908666	0.84665380766731	0.98739249873925	0.9873704	0.835892017946008	0.767036323296368	0.939865609020158	0.794919417967767	0.925733811139928	0.873615731596067	0.813602137279572	0.800204709989764	0.927036096351805	0.910164295508214	0.829518357379589	0.762063892928752	0.9203206	0.8164824	0.971733501413325	0.989822597455649	0.9874120006294	0.938540909218864	0.9766921	0.97124580287542	0.930169106983089	0.886445122710975	0.838291275743691	0.727813840827924	0.764658494136603	0.820259635948073	0.885631522873695	0.887781660723582	0.930993106900689	0.908493295424665	0.799816170064341	0.793850751537312	0.759578912021054	0.782464567369685	0.902547714617843	0.894185978837196	0.764601076460107	0.97052960147352	0.891641878328376	0.896297715555343	0.843360715663928	0.92096140790386	0.910858104457094	0.874972974994595	0.803643268724856	0.7925789
DonorB_D_2016.mp.profile_sp	0.564716708820822	0	0.674258330296667	0.860333413966659	0.927801128879548	0.945291505470849	0.99938690018393	0.983517504944748	0.833001183300118	0.858174549638907	0.834673649597905	0.947008615897415	0.926812703659365	0.785214507392746	0.895789205210539	0.788400542319892	0.746181276145617	0.99154540126819	0.983733004066749	0.861980465495116	0.773222179372237	0.957314717074113	0.765972764895915	0.918012932794827	0.88107125946437	0.849425567758494	0.847192245842325	0.943496811300638	0.925285014942997	0.8211033	0.755192851038569	0.871173332206667	0.795548451112887	0.993491001952699	0.9946256	0.983882104835369	0.924754230098308	0.978542605364349	0.970591310293041	0.957045615034035	0.877696455036595	0.811801118819888	0.775817889672845	0.737964670322964	0.827967077414815	0.881395653371956	0.883638688363869	0.901671334415033	0.900513419897316	0.817825909304454	0.813811093094453	0.704354588693623	0.744187725581228	0.87878934848426	0.854326907283655	0.731952040207194	0.964434710669587	0.875362106231895	0.879770648091741	0.844747854338251	0.882433741148191	0.88812523356243	0.83217500839125	0.774211135473319	0.789835052541237
DonorB_D_May17.mp.profile_sp	0.675719048642141	0.674258330296667	0	0.484934	0.941487717553685	0.9157862	0.99866170026766	0.980482203903559	0.826094865218973	0.848618737845315	0.838765732246853	0.946087510782498	0.966158098307905	0.810798175680729	0.909096895454845	0.792302020769799	0.804182339163532	0.98972180051391	0.949930507510424	0.822379837832943	0.758843260289185	0.912496426251072	0.796956349239087	0.928726421382073	0.868619652552139	0.826597660690819	0.825201634959673	0.955837304416269	0.92606470739353	0.825656382565638	0.77729803318941	0.877262818410577	0.854440421833937	0.986050702789859	0.98585819858582	0.941374911725018	0.916156425153073	0.931255210311718	0.92227011943247	0.934631616342096	0.867712646300574	0.816969300000001	0.753707373887788	0.728671449230702	0.828443960044614	0.828318460088539	0.869425573885115	0.886303428424143	0.842692115730788	0.785683407158297	0.770908491636603	0.784467643106471	0.8021718	0.866538240038528	0.823722991186149	0.751606412419679	0.964868107026379	0.876805693840285	0.846288446113466	0.864052833986791	0.905134523716369	0.863854327229135	0.84473759223688	0.814363692818153	0.811410428288436
DonorB_D_Oct17.mp.profile_sp	0.805474270821141	0.860333413966659	0.484934	0	0.9627411	0.920261376078413	0.99758549975855	0.97488479748848	0.875003437501718	0.915700295785015	0.92389509238951	0.9568249956825	0.95714248499987	0.851989614801039	0.913222469627865	0.851873970374794	0.874812687481269	0.986502796625699	0.950636892595534	0.837763694546402	0.720907886045395	0.931096799999999	0.790253384639362	0.921089499999999	0.880666811933319	0.888683105565845	0.868997986899799	0.948253689650738	0.927449485489897	0.879865951946382	0.847461808477086	0.914768787215317	0.900747885112183	0.944266894426689	0.952805781122313	0.951453095145309	0.9660563	0.908226386233958	0.92460519623026	0.950999897549995	0.954595902270205	0.909167972750392	0.8510476	0.872841431789642	0.89191760540412	0.88641740567913	0.913427056713528	0.90655919532796	0.867788373557675	0.866685726662855	0.866551913344808	0.885986788598678	0.875770662731199	0.9034317	0.893146862601402	0.852252863063216	0.95988649598865	0.901013565354748	0.8897863	0.914631595731579	0.95703059785153	0.906410190641019	0.926344474220566	0.912519117496176	0.887312483096873
DonorB_P10.mp.profile_sp	0.942432108635184	0.927801128879548	0.941487717553685	0.9627411	0	0.8259355	0.925163914967217	0.914865617026877	0.909086681817337	0.882068129482968	0.898788720242256	0.957154908569018	0.968044898402245	0.867167853132859	0.89740479487024	0.886879811312019	0.875201524959695	0.923539903823005	0.905980014102998	0.967837688743191	0.958345310413673	0.988210503536849	0.929383282345821	0.991989502403149	0.957131217147513	0.987404504408423	0.98839460232108	0.98642650135735	0.98959440104056	0.945885594588559	0.939182881754865	0.901088314836753	0.826217026067446	0.964372607125478	0.98551249855125	0.978637704272459	0.920931223720633	0.937210609418409	0.936104315973921	0.954599011350247	0.951176617088184	0.9403614	0.947727015681895	0.935951235226821	0.947517518368869	0.95806051467882	0.979791295958259	0.935337816165546	0.916152908384709	0.917693241153379	0.904265538293784	0.960618207876358	0.9587096	0.965072010478397	0.945787097289355	0.971538501423075	0.99464320107136	0.94005859700293	0.929313821205854	0.945430913642272	0.92775551806112	0.861810427637914	0.938852696942635	0.955613722193139	0.978154703276795
DonorB_P11.mp.profile_sp	0.933688190053228	0.945291505470849	0.9157862	0.920261376078413	0.8259355	0	0.94973959497396	0.937032993703299	0.84053802026901	0.917965995898299	0.91738559173856	0.94537059453706	0.845598045959316	0.861320913867909	0.844065745423011	0.880366776073355	0.863222386322238	0.903665875916469	0.816783872517581	0.905739638730765	0.940901697045085	0.9812374	0.906415148528331	0.9791415	0.943861205613879	0.972977701351115	0.963669996367	0.984485896897179	0.980930596186119	0.948718779487512	0.940983064589839	0.934186490127974	0.798235369735305	0.9828979982898	0.932290172916069	0.97322149732215	0.9652719	0.904968685745303	0.94385219719261	0.926801296340065	0.94125920293704	0.967700590310177	0.9416831	0.958670310332423	0.96327080183646	0.93381920330904	0.955011177505589	0.91987919599396	0.908338681667736	0.935230412953917	0.935577106442289	0.944688994468899	0.933729380118814	0.9485226	0.940538479188468	0.950855387713847	0.98266179826618	0.933278276647397	0.9172787	0.93243039662152	0.927813896390695	0.892320089232009	0.941494879523207	0.944597411080518	0.972504895875734
DonorB_P12.mp.profile_sp	0.99784760010762	0.99938690018393	0.99866170026766	0.99758549975855	0.925163914967217	0.94973959497396	0	0.715048228495177	0.986850496055149	0.98338020249297	0.98281550171845	0.98846780115322	0.927689289153394	0.958170712548786	0.995489099323365	0.979296	0.99821610017839	0.828049191402459	0.688573815571309	0.99887019949159	0.998758700186195	0.99874660025068	0.999244099735435	0.99766170046766	0.988238503528449	0.999638900090275	0.9990710000929	0.9925254	0.9986763	0.985773197154639	0.986832094732838	0.999820000009	0.97728780113561	0.963440003656	0.980044396008879	1	0.99980960003808	0.961643301917835	0.984718902292165	0.99838100024285	0.999129100217725	0.99987309998731	0.99996990000602	0.998991100454005	0.996966500758375	0.997777700555575	0.99819239945772	0.995832300625155	0.9656416	0.99964780014088	0.99954820013554	0.99975240002476	0.99956679995668	0.99598780080244	0.99995099999265	0.993857699692885	0.99935480006452	0.985005997750899	0.985482802903439	0.98247420262887	0.982987002551949	0.903089409691059	0.999852699977905	0.99982410007036	0.99604440019778
DonorB_P13.mp.profile_sp	0.95199020240049	0.983517504944748	0.980482203903559	0.97488479748848	0.914865617026877	0.937032993703299	0.715048228495177	0	0.8903886671166	0.799614230057865	0.801867519813248	0.905267909473209	0.963189994478499	0.88113843565847	0.97959919693988	0.9260507	0.97409750259025	0.82559999128	0.498763125061844	0.978592090366441	0.991887301216905	0.99537730092454	0.985629894970463	0.99208120158376	0.968829609351117	0.996643300839175	0.99641880035812	0.9855169	0.9947214	0.980644696128939	0.981491792596717	0.980294500985275	0.967125501643725	0.94434750556525	0.967385593477119	0.9994560000544	0.981715403656919	0.961123501943825	0.983603302459504	0.979697503045375	0.986369203407699	0.99527589952759	0.9946980010604	0.986237806192987	0.984502403874399	0.983293204176699	0.978442693532808	0.988060101790985	0.9566057	0.978278308688677	0.979721906083428	0.98589090141091	0.98653569865357	0.982857103428579	0.988366698255005	0.986958499347925	0.9993790000621	0.964726294708944	0.966736506652699	0.963727905440814	0.968673304699004	0.888734711126529	0.98162539724381	0.982463307014677	0.99416520029174
DonorB_P1.mp.profile_sp	0.855778049522317	0.833001183300118	0.826094865218973	0.875003437501718	0.909086681817337	0.84053802026901	0.986850496055149	0.8903886671166	0	0.60055740013935	0.608820682646205	0.513615454084636	0.948010471405759	0.397837239783724	0.669222318072274	0.433454973381989	0.520965956289787	0.948388376774769	0.894993063247572	0.906475220503938	0.92134408033602	0.955563591112718	0.89267671950754	0.957394491478898	0.834434283443428	0.957820393673059	0.946736684021006	0.962294884917954	0.949526479810592	0.873045423827254	0.840381972305578	0.814943535230237	0.890981161843407	0.916304874891463	0.929786257871755	0.924950477485143	0.901728280345656	0.706543797290329	0.775750943937736	0.970807992701998	0.905967385895108	0.943678871839436	0.914650482930097	0.91368860431557	0.926727889009183	0.866538979980847	0.91916484341539	0.83631775907944	0.822192828877131	0.8270434	0.825757882575788	0.851513855454157	0.861931730965866	0.862612372522474	0.828495905672748	0.92411826585322	0.954722986416896	0.845247814886298	0.786827957365591	0.867637766909442	0.872383668095917	0.855064756519427	0.912155351685443	0.907098399999999	0.933255876639557
DonorB_P2.mp.profile_sp	0.896390510360949	0.858174549638907	0.848618737845315	0.915700295785015	0.882068129482968	0.917965995898299	0.98338020249297	0.799614230057865	0.60055740013935	0	0.297326005401099	0.849288122606781	0.98254149825415	0.555511955570816	0.932129493212949	0.551263522436824	0.550329567450565	0.9747808	0.873057912694209	0.980885292354117	0.976100904779819	0.983814704046324	0.965766189729857	0.979008705247824	0.942540120110958	0.980338805898358	0.98023140296529	0.98310220084489	0.98343920082804	0.951584492737674	0.927996274798696	0.844319815568018	0.928483107151689	0.980964702855294	0.982749697412455	0.888170416774438	0.882721929319518	0.863664613633539	0.860098027980394	0.99311710137658	0.923639822908053	0.964724098236205	0.93367871658032	0.935051732474134	0.940692817792155	0.894168431749471	0.960182590045648	0.853365729326854	0.826389908680504	0.813275184026167	0.79493557177255	0.916906112464083	0.951863297593165	0.880276729930818	0.836305683630568	0.953974699999999	0.97883320317502	0.90686389068639	0.763490059127485	0.910931417813716	0.866137526772495	0.847607422858886	0.905780190578019	0.922744434765004	0.92941840705816
