#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/DonorB_D_2013.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 34927382 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/DonorB_D_2013.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB749__ELFPFHCC_00953	7.900703047303903e-08
SGB746__MFEIHADB_00716	1.6095285450886587e-07
SGB746__MFEIHADB_00497	3.1209234438970855e-08
SGB713__IGDDEBKK_01183	2.614198079995186e-07
SGB713__NNGNMODE_01303	6.349942233932566e-08
SGB713__FMOEFODF_00213	2.527778074534633e-07
SGB713__CKAEEGNM_01490	5.6255625006361046e-08
SGB713__EGFEGELK_00241	3.988229020981312e-08
SGB713__EAHPFCLB_00266	2.180953563778422e-08
SGB713__ALDAANIP_00805	3.839224885435235e-07
SGB713__FFJJNLBD_01597	9.185626194209124e-08
SGB713__OPFNNNBJ_00444	2.7067246682680318e-08
SGB713__KHKLFJCD_00054	4.907647613676649e-07
SGB713__JPHNAOFK_00318	7.067125196336849e-07
SGB713__NHNFFFHB_00548	2.1641748635804682e-07
SGB713__ONKBJBOC_00306	1.1071949468782374e-07
SGB713__FIIPMPKF_00863	3.445519449331262e-07
SGB713__DNLPODDD_00894	4.4892328890944705e-08
SGB713__JDFIEMGO_01454	2.6719496165201425e-07
SGB713__JPHNAOFK_00293	2.7972543550996417e-07
SGB713__FKCLMMKN_00399	2.9169494019293845e-07
SGB713__DLHEJEEG_01328	6.017830307771045e-08
SGB713__JMLADIMD_00911	5.777780760088453e-07
SGB713__BIOCBFAN_00133	4.566927494852718e-07
SGB713__GBNKEJGB_00080	1.3845067962669961e-07
SGB713__IBJCFIKF_01736	8.381663518302957e-08
SGB713__EAHPFCLB_00382	1.9751757618259755e-07
SGB713__INBDFEFD_00575	3.8384844955702027e-07
SGB713__LDPNGPCM_00326	1.0888662743855415e-07
SGB713__HGHAIDMB_00945	1.128234453402329e-07
SGB713__IDHJINOH_00817	3.011562275466207e-07
SGB713__KCIPOGOB_01394	1.341389037192572e-07
SGB713__DNLPODDD_00432	2.8405167632258593e-07
SGB713__CKKJAHIG_01887	2.3019455453138826e-08
SGB713__EIEPIGDN_00125	2.987445139030718e-07
SGB713__DNDMKFPL_00580	3.501100290981007e-08
SGB713__OIJNAHHN_01088	1.170569570800786e-07
SGB713__KAOBFNLN_01371	1.920297215445584e-07
SGB713__HPCOAPIO_00249	2.4906481639623845e-07
SGB713__CEMHNKNE_00478	1.6305605072424588e-07
SGB713__CBIEFMNN_00082	1.790732623466322e-07
SGB713__IKIKMPDL_00407	4.276236707987317e-07
SGB713__LOLNOPPK_00762	1.9618050241923284e-07
SGB713__AGACPMMK_00806	1.971933481310354e-07
SGB713__MEFGKJBD_00828	3.3314259922875875e-07
SGB713__JCKGCCEL_01189	1.4629506861559084e-07
SGB713__PJJPKGMI_00329	4.936917728930473e-07
SGB713__ANCDLIBA_00022	1.4189366897903597e-08
SGB713__ALPIAMDP_01457	2.7198861823203457e-07
SGB713__PEGLPHFG_00444	1.6188144196400577e-07
SGB713__DPMNANBL_00728	3.299820500846651e-07
SGB713__FBGBHIGI_01021	3.629556285875442e-07
SGB713__HJFDKCFK_00818	5.9204899241061445e-08
SGB713__OCLGMCDA_00481	3.971631762659904e-07
SGB713__ENGFHOPN_00424	8.026773291880261e-08
SGB713__MMMEOPFH_00425	1.4567573469832565e-07
SGB713__JPHNAOFK_00263	3.1216228863926926e-07
SGB713__AAKBFDKL_00588	6.58802655333854e-08
SGB713__IADMDHLK_01532	1.7772546192233755e-07
SGB713__NJKLPPMJ_01560	2.7892456077501e-07
SGB713__PEGLPHFG_00627	2.563050851196214e-07
SGB713__BCCJFEDI_01412	3.7555814109188935e-07
SGB713__CKAEEGNM_00347	7.237521619105835e-08
SGB713__LKKKEDLN_01748	3.8697938924812893e-07
SGB713__BEGEEOBG_00192	2.182289604356642e-07
SGB713__GGHODGNA_00184	1.2505094781635473e-07
SGB713__DMMBLFPM_00050	4.0121446419684175e-07
SGB713__MDGHPDED_01341	3.009108481476313e-07
SGB713__KAOBFNLN_00154	2.7802649384102917e-07
SGB713__ACJPAFEL_01440	1.0163890068222347e-07
SGB713__EJCLHBNI_00668	3.8838435157861365e-07
SGB713__OPCFAKGM_00661	7.767687031572274e-08
SGB713__JHFPNOEB_00323	5.308067480062349e-07
SGB713__AMBNHGHN_00422	1.6103332920918478e-07
SGB713__CEMHNKNE_00739	4.318511461651135e-07
SGB713__JCKGCCEL_01706	1.6286539309236703e-07
SGB713__KBEGAJPC_00105	5.308386894925206e-07
SGB713__CNGDMANF_00139	2.521881853609295e-07
SGB713__NELMMOAJ_01082	1.99663752099566e-07
SGB713__INMFMJMJ_00756	1.1443559112543251e-07
SGB713__AKAGHJOC_00178	3.1659599631032015e-07
SGB713__COJOLONA_01268	2.316488387253806e-07
SGB713__HCAFICKL_01030	1.1617690972683129e-07
SGB713__NLIGIBLA_00516	4.129021435324696e-07
SGB713__NLIGIBLA_00553	2.9862147111384896e-08
SGB713__HBBCLMMH_00231	3.5834576533661875e-07
