#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/DonorB_D_May17.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 56558882 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/DonorB_D_May17.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB711__EGOGEJLC_00120	1.2205645768405295e-08
SGB713__IGDDEBKK_01183	3.2889884319769244e-06
SGB713__NNGNMODE_01303	2.546615338664712e-07
SGB713__FMOEFODF_00213	2.2885755376115418e-06
SGB713__CKAEEGNM_01490	4.4276244305092865e-07
SGB713__EGFEGELK_00241	3.9384328288131166e-07
SGB713__EAHPFCLB_00266	4.441821239720022e-07
SGB713__ALDAANIP_00805	3.6098214967096097e-06
SGB713__FFJJNLBD_01597	3.9681997776382323e-07
SGB713__OPFNNNBJ_00444	1.4197111215787451e-06
SGB713__KHKLFJCD_00054	2.850096569856812e-06
SGB713__JJEHMLON_00191	1.443209710181932e-07
SGB713__JPHNAOFK_00318	3.6749709284277194e-06
SGB713__NHNFFFHB_00548	3.6715792366664724e-06
SGB713__ONKBJBOC_00306	1.98079628650993e-06
SGB713__FIIPMPKF_00863	2.1251899308706475e-06
SGB713__DNLPODDD_00894	4.153214354035601e-07
SGB713__JDFIEMGO_01454	3.3940082627785573e-06
SGB713__JPHNAOFK_00293	1.1728107162099946e-06
SGB713__FKCLMMKN_00399	1.906306901180473e-06
SGB713__HJPNIHKH_01044	1.8570375652612442e-06
SGB713__DLHEJEEG_01328	3.8213159260483255e-06
SGB713__IDLLIMIM_00850	3.2433722138179844e-07
SGB713__JMLADIMD_00911	4.2678379996539725e-06
SGB713__BIOCBFAN_00133	3.5844014160024297e-06
SGB713__GBNKEJGB_00080	1.723116281420679e-06
SGB713__IBJCFIKF_01736	3.9651828138272444e-07
SGB713__EAHPFCLB_00382	9.0162037114764e-07
SGB713__AFNGCHAA_00746	2.5640297570312374e-08
SGB713__IDGLDANL_01121	5.027050804526257e-07
SGB713__INBDFEFD_00575	4.330290192743096e-06
SGB713__ONHHFBCJ_00256	1.7874937717054108e-07
SGB713__LDPNGPCM_00326	9.91063936076629e-07
SGB713__HGHAIDMB_00945	3.0559813223011107e-06
SGB713__IDHJINOH_00817	1.8921275032841865e-06
SGB713__KCIPOGOB_01394	1.2206899172334924e-06
SGB713__DNLPODDD_00432	1.8978012791427568e-06
SGB713__CKKJAHIG_01887	3.551575924783834e-07
SGB713__EIEPIGDN_00125	2.4188381954933685e-06
SGB713__DNDMKFPL_00580	6.479873064289132e-08
SGB713__OIJNAHHN_01088	1.0831300608686308e-06
SGB713__PDDMJGPK_00806	2.8083912309259157e-07
SGB713__PFKJMHNP_00894	5.990426876849899e-07
SGB713__KAOBFNLN_01371	1.3924526468726519e-06
SGB713__HPCOAPIO_00249	3.1333137566490674e-06
SGB713__CEMHNKNE_00478	1.8432519616596272e-06
SGB713__CBIEFMNN_00082	1.8752537140024565e-06
SGB713__IKIKMPDL_00407	3.3721013997725736e-06
SGB713__LOLNOPPK_00762	1.436110298572865e-06
SGB713__AGACPMMK_00806	5.776349212666702e-07
SGB713__MEFGKJBD_00828	4.207654278573878e-06
SGB713__JCKGCCEL_01189	1.2068637476712824e-06
SGB713__PJJPKGMI_00329	2.5773517194948353e-06
SGB713__ANCDLIBA_00022	1.751806482037507e-08
SGB713__ALPIAMDP_01457	2.481085937595249e-06
SGB713__PEGLPHFG_00444	1.2989351924925896e-06
SGB713__DPMNANBL_00728	2.9758870072100385e-06
SGB713__FBGBHIGI_01021	4.551146058707819e-06
SGB713__HJFDKCFK_00818	6.69923097793478e-07
SGB713__OCLGMCDA_00481	3.4072825768864914e-06
SGB713__ENGFHOPN_00424	1.1022823613682028e-06
SGB713__MMMEOPFH_00425	1.0018359367817532e-06
SGB713__JPHNAOFK_00263	2.9669756589305772e-06
SGB713__AAKBFDKL_00588	9.893633967187149e-07
SGB713__AALPADGE_00161	1.3678746622265394e-08
SGB713__IADMDHLK_01532	8.226341013455665e-07
SGB713__NJKLPPMJ_01560	3.1414702897391117e-06
SGB713__PEGLPHFG_00627	1.8981088358942545e-06
SGB713__BCCJFEDI_01412	4.606434242182125e-06
SGB713__CKAEEGNM_00347	8.337374148040516e-07
SGB713__LKKKEDLN_01748	3.1493593045889404e-06
SGB713__BEGEEOBG_00192	1.4814132606328877e-06
SGB713__GGHODGNA_00184	5.864925431556439e-07
SGB713__DMMBLFPM_00050	3.7138893333133042e-06
SGB713__MDGHPDED_01341	3.3115513222043632e-06
SGB713__KAOBFNLN_00154	1.6689217637955646e-06
SGB713__ACJPAFEL_01440	1.0662669588431087e-06
SGB713__EJCLHBNI_00668	4.154273004249384e-06
SGB713__OPCFAKGM_00661	8.30854600849877e-07
SGB713__JHFPNOEB_00323	3.865109549847236e-06
SGB713__AMBNHGHN_00422	2.2855111989557447e-06
SGB713__CEMHNKNE_00739	1.7488046473998371e-06
SGB713__JCKGCCEL_01706	1.859244839659905e-06
SGB713__KBEGAJPC_00105	3.4135052049469323e-06
SGB713__CNGDMANF_00139	1.7463408715215576e-06
SGB713__NELMMOAJ_01082	1.9008343432803978e-06
SGB713__INMFMJMJ_00756	1.2886716547667244e-06
SGB713__AKAGHJOC_00178	3.5163664014434703e-06
SGB713__COJOLONA_01268	3.6270225814865186e-06
SGB713__HCAFICKL_01030	6.272503122320823e-07
SGB713__NLIGIBLA_00516	3.3666533655038965e-06
SGB713__NLIGIBLA_00553	4.2379123011413295e-07
SGB713__HBBCLMMH_00231	3.3903298409130636e-06
SGB713__HCKFOIEN_00033	1.620065634267226e-06
SGB713__CFAEDIGA_00945	3.613868490703695e-07
SGB713__CCNDOMBC_00162	1.2363234310302117e-06
SGB713__INMFMJMJ_01525	1.5456374513732174e-06
SGB713__JBCMJBIJ_01295	1.5506581105348102e-06
SGB713__FMDDAADF_00300	4.817277529846578e-07
SGB713__CGFGLCOB_00545	2.2875715684062473e-06
SGB713__EJIAPAOB_00202	2.2289142408071659e-07
SGB713__JCMPFGFG_00288	2.95845736970968e-06
SGB713__MLOJONOG_01049	2.040315427385986e-08
SGB713__GBNKEJGB_01432	2.9277868801164763e-06
SGB713__LJOCPEFF_01667	2.896552345977779e-07
SGB713__AGACPMMK_00477	4.324138859352542e-06
SGB713__ABHDAFMH_00496	2.800888045023168e-06
SGB713__BKDEAJBD_01298	5.514832239036077e-07
SGB713__HFDKPIKP_00384	2.208567864709859e-06
SGB713__EEBPLDKK_00522	3.168633208965524e-06
SGB713__CDMNFCLM_01038	3.4903237179663403e-06
SGB713__COJOLONA_01713	3.410429579585581e-06
SGB713__DHEOGOMI_00294	3.072676703551909e-06
SGB713__FIIFMKPL_00692	1.1296605527764371e-07
SGB713__JPMKPAFP_01291	2.982578316468975e-06
SGB713__BKDEAJBD_00362	1.1428035025340683e-06
SGB713__MACLHLPI_00380	3.376267150700677e-06
SGB713__DGJJLLPL_00568	4.212103402283655e-06
SGB713__BBGPEBBL_00140	2.596652261339851e-06
SGB713__HJHFALGE_01522	3.592797700765176e-06
SGB713__FKEPKDMI_01579	9.745330207576907e-07
