#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/DonorB_D_Oct17.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 44270004 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/DonorB_D_Oct17.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB748__GPEDKBCG_00285	1.7821717641155182e-08
SGB748__HDGGHMAB_00054	4.5703856681289726e-08
SGB748__NOHBJKNO_00048	2.244324164000482e-08
SGB748__MKKDEEGB_00207	2.6099593698082893e-08
SGB713__IGDDEBKK_01183	1.6379202410380168e-06
SGB713__NNGNMODE_01303	2.5140988888217207e-07
SGB713__FMOEFODF_00213	9.987717618020094e-07
SGB713__CKAEEGNM_01490	1.8893535152625402e-07
SGB713__EGFEGELK_00241	2.2076494593186638e-07
SGB713__EAHPFCLB_00266	1.0350064277604486e-07
SGB713__ALDAANIP_00805	1.7149439988470637e-06
SGB713__FFJJNLBD_01597	7.26627558521248e-08
SGB713__OPFNNNBJ_00444	5.355405779407376e-07
SGB713__KHKLFJCD_00054	8.226694202632152e-07
SGB713__JJEHMLON_00191	2.6466556457709442e-08
SGB713__JPHNAOFK_00318	1.4126585487620171e-06
SGB713__NHNFFFHB_00548	1.7717058486583838e-06
SGB713__ONKBJBOC_00306	9.942200048024545e-07
SGB713__FIIPMPKF_00863	1.058609690575668e-06
SGB713__DNLPODDD_00894	1.068056496895654e-07
SGB713__JDFIEMGO_01454	1.6968665526997583e-06
SGB713__JPHNAOFK_00293	1.4659902738702916e-06
SGB713__FKCLMMKN_00399	8.340781657531866e-07
SGB713__HJPNIHKH_01044	6.56811640865626e-07
SGB713__DLHEJEEG_01328	1.2908369954428297e-06
SGB713__IDLLIMIM_00850	1.6827112754888637e-07
SGB713__JMLADIMD_00911	1.0163446502882662e-06
SGB713__BIOCBFAN_00133	2.0080485829289503e-06
SGB713__GBNKEJGB_00080	4.380903960726248e-07
SGB713__IBJCFIKF_01736	2.6536406335636715e-07
SGB713__EAHPFCLB_00382	3.7570571481316575e-07
SGB713__IDGLDANL_01121	2.1575502454547222e-07
SGB713__INBDFEFD_00575	1.9465976315228617e-06
SGB713__ONHHFBCJ_00256	1.842170122429e-07
SGB713__LDPNGPCM_00326	3.8779577877016307e-07
SGB713__HGHAIDMB_00945	1.2625442523609178e-06
SGB713__IDHJINOH_00817	1.0184057687132454e-06
SGB713__KCIPOGOB_01394	9.561569467880106e-07
SGB713__DNLPODDD_00432	3.7555170930850777e-07
SGB713__CKKJAHIG_01887	2.5493469720300215e-07
SGB713__EIEPIGDN_00125	6.535651710284267e-07
SGB713__DNDMKFPL_00580	2.7733863906792334e-08
SGB713__OIJNAHHN_01088	1.8553838294565849e-07
SGB713__PDDMJGPK_00806	3.6114157483948974e-08
SGB713__PFKJMHNP_00894	1.819254490910526e-07
SGB713__KAOBFNLN_01371	4.7475937967480036e-07
SGB713__HPCOAPIO_00249	9.486394161309062e-07
SGB713__CEMHNKNE_00478	7.767180883636999e-07
SGB713__CBIEFMNN_00082	7.851231720860448e-07
SGB713__IKIKMPDL_00407	1.3629000358290065e-06
SGB713__LOLNOPPK_00762	6.050245005748747e-07
SGB713__AGACPMMK_00806	2.738117285005831e-07
SGB713__MEFGKJBD_00828	2.3220296009738166e-06
SGB713__JCKGCCEL_01189	3.888292188860626e-07
SGB713__PJJPKGMI_00329	1.694306011797207e-06
SGB713__ANCDLIBA_00022	3.363944959914257e-08
SGB713__ALPIAMDP_01457	8.83731962051384e-07
SGB713__PEGLPHFG_00444	6.256933679004126e-07
SGB713__DPMNANBL_00728	1.23199323278327e-06
SGB713__FBGBHIGI_01021	1.3292072481504004e-06
SGB713__HJFDKCFK_00818	3.121102765587213e-07
SGB713__OCLGMCDA_00481	1.1149237492401296e-06
SGB713__ENGFHOPN_00424	3.808469834962496e-07
SGB713__MMMEOPFH_00425	4.937486099746372e-07
SGB713__JPHNAOFK_00263	9.052057849535014e-07
SGB713__AAKBFDKL_00588	3.8212871250886334e-07
SGB713__AALPADGE_00161	3.506250850083068e-08
SGB713__IADMDHLK_01532	3.338711917634966e-07
SGB713__NJKLPPMJ_01560	1.5445496624829224e-06
SGB713__PEGLPHFG_00627	7.741653768158465e-07
SGB713__BCCJFEDI_01412	1.8568880037739242e-06
SGB713__CKAEEGNM_00347	1.9086652536132708e-07
SGB713__LKKKEDLN_01748	1.5116774994595044e-06
SGB713__BEGEEOBG_00192	6.138851543343259e-07
SGB713__GGHODGNA_00184	2.770450716196932e-07
SGB713__DMMBLFPM_00050	2.1229954944495185e-06
SGB713__MDGHPDED_01341	1.6666506685398086e-06
SGB713__KAOBFNLN_00154	6.199745345211955e-07
SGB713__ACJPAFEL_01440	4.6243765939840076e-07
SGB713__EJCLHBNI_00668	1.7825398265409313e-06
SGB713__OPCFAKGM_00661	5.736909786568514e-07
SGB713__JHFPNOEB_00323	2.373377499323948e-06
SGB713__AMBNHGHN_00422	7.434117761739848e-07
SGB713__CEMHNKNE_00739	9.398774601404236e-07
SGB713__JCKGCCEL_01706	6.874477327044001e-07
SGB713__KBEGAJPC_00105	1.525843364299111e-06
SGB713__CNGDMANF_00139	8.427947522279715e-07
SGB713__NELMMOAJ_01082	8.353799533341026e-07
SGB713__INMFMJMJ_00756	4.3026908380108057e-07
SGB713__AKAGHJOC_00178	1.4808809205607815e-06
SGB713__COJOLONA_01268	1.6503475874895406e-06
SGB713__HCAFICKL_01030	3.6786376063652995e-07
SGB713__NLIGIBLA_00516	1.494268786795839e-06
SGB713__NLIGIBLA_00553	1.1820590000590487e-07
SGB713__HBBCLMMH_00231	1.3948296200696772e-06
SGB713__HCKFOIEN_00033	9.42725715099063e-07
SGB713__CFAEDIGA_00945	9.763009548853834e-08
SGB713__CCNDOMBC_00162	5.125580013148264e-07
SGB713__INMFMJMJ_01525	8.815283896828601e-07
SGB713__JBCMJBIJ_01295	3.685019027455226e-07
SGB713__FMDDAADF_00300	9.89126216802226e-08
SGB713__CGFGLCOB_00545	9.87090306423194e-07
SGB713__EJIAPAOB_00202	1.820660625965302e-07
SGB713__JCMPFGFG_00288	1.7547552637485575e-06
SGB713__MLOJONOG_01049	5.2380754141747985e-08
SGB713__GBNKEJGB_01432	1.0512717679896093e-06
SGB713__LJOCPEFF_01667	7.967974556566755e-08
SGB713__AGACPMMK_00477	1.620154826501907e-06
SGB713__ABHDAFMH_00496	7.299926735642564e-07
SGB713__BKDEAJBD_01298	6.535760369617414e-07
SGB713__HFDKPIKP_00384	7.158073453684981e-07
SGB713__EEBPLDKK_00522	1.1853613502205535e-06
SGB713__CDMNFCLM_01038	1.3361469440606895e-06
SGB713__COJOLONA_01713	1.412710626389938e-06
SGB713__DHEOGOMI_00294	1.073606385671132e-06
SGB713__FIIFMKPL_00692	2.9016388801922485e-08
SGB713__JPMKPAFP_01291	1.2573958884266337e-06
SGB713__BKDEAJBD_00362	3.522692507248232e-07
SGB713__MACLHLPI_00380	7.425796479069863e-07
SGB713__DGJJLLPL_00568	1.2624747444031507e-06
SGB713__BBGPEBBL_00140	7.171207435326173e-07
SGB713__HJHFALGE_01522	1.6555947667157817e-06
SGB713__FKEPKDMI_01579	3.5320902547465406e-07
SGB713__HBDHECKN_00865	1.9107818995368275e-06
SGB713__GKIOOBLE_00713	9.996703655978944e-07
SGB713__OGOKPBHI_00072	1.0126816489541023e-06
SGB713__DMHCDPDA_01035	4.265234319544623e-07
SGB713__HFDKDEIL_01471	3.280949476572787e-07
SGB713__JNKHIAJO_01189	6.233804005488295e-07
SGB713__DBPONMIM_01331	2.636246840730683e-07
SGB713__KKMKBOON_00315	3.9543702610960253e-07
SGB713__ALDAANIP_00212	9.885925652740063e-08
SGB713__JHOMDKPC_00567	1.6770120462037233e-07
SGB713__KLJIDKIG_00514	6.648814168009387e-07
SGB713__CKAEEGNM_01109	1.6289594711622998e-06
SGB713__DMBJDIPJ_00605	1.5428510825074253e-06
SGB713__FDOMBFLN_01043	1.121819314925904e-06
SGB713__NJKLGMLD_01129	1.384789247057102e-07
SGB713__ENCIMLEC_01723	4.914551430064033e-07
SGB713__EEBPLDKK_01013	8.504241484629227e-07
SGB713__ABHDAFMH_01050	1.114194845101295e-06
SGB713__GBNKEJGB_01654	1.068056496895654e-07
SGB713__GFLJPAIM_00412	4.7403126011951e-07
SGB713__CKAEEGNM_00613	1.656925681101784e-06
SGB713__EHPHPMEO_00851	3.6641389152449386e-08
SGB713__MMADPEDO_00596	2.564897240671457e-07
SGB713__JCKGCCEL_01323	1.132302717247809e-06
SGB713__JDFIEMGO_01280	7.548684781652059e-07
SGB713__HHMCGOKL_00215	1.9346122590569864e-06
SGB713__MDGHPDED_01284	1.9257847556895422e-07
SGB713__FHPOGIEG_00126	5.898034419523725e-07
SGB713__CDOOFPPA_00440	1.9867616896679397e-06
SGB713__KFKHMEDD_00957	3.6143182687073794e-07
SGB713__JFHMOGGF_01544	9.794906314448984e-07
SGB713__OIHNJHIG_00725	1.2583547928626925e-06
SGB713__FBJMKGAJ_00933	1.0011976242548202e-06
SGB713__OIHNJHIG_00318	1.1263473272866725e-06
SGB713__DDAOFEGF_00077	1.6686627070913668e-07
SGB713__PIOAFHCA_00123	1.7392882165172524e-06
SGB713__LBIGIJHJ_00293	1.3531911188507296e-06
SGB713__DHOIKBNN_00146	2.2343801044357628e-07
SGB713__JNMDLHFG_00594	1.5376300193171482e-06
SGB713__GEKPGCMI_00359	5.950655913904425e-07
SGB713__EDNFHDAJ_01322	1.6118988571253748e-06
SGB713__OBICOAEG_00334	6.487274622524785e-07
SGB713__NOKPIKHK_00971	6.950651381276556e-07
SGB713__AEIDJAIG_00801	6.098965236609385e-07
SGB713__LDMAEFAE_00821	2.832556115216378e-07
SGB713__BIOCBFAN_00601	1.924571138642595e-06
SGB713__IOMGDAGI_01394	9.622855693212974e-08
SGB713__MLFHBFPA_01796	1.038603908912672e-06
SGB713__AFJPPIKL_00092	1.8883707434775855e-07
SGB713__INMFMJMJ_00925	1.7916772244475365e-06
SGB713__IDGLDANL_01475	8.285314619515315e-07
SGB713__EKPJNJIK_00604	1.9621865965325817e-07
SGB713__FIIFMKPL_00049	1.9621865965325817e-07
SGB713__ONKBJBOC_00362	9.747428964135663e-07
