#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/DonorB_P2.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 14085539 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/DonorB_P2.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB746__MFEIHADB_00975	4.272546799509546e-08
SGB746__KDELEGKB_00615	7.761958560780629e-08
SGB713__ALDAANIP_00805	5.5844202414376834e-08
SGB713__MDGHPDED_01341	6.198788746674055e-08
SGB713__CNGDMANF_00139	6.924287450817972e-08
SGB713__NOKPIKHK_00971	1.4362661200778618e-07
SGB1429__MMKDBFEO_00595	4.696508548542274e-08
SGB1429__DPKNGIGF_02229	1.0735231186375993e-07
SGB1429__PPBOCMHH_00862	6.34646780100355e-08
SGB1429__LDAMFDJD_00610	7.42118391484365e-08
SGB1429__FAJABBFM_01534	1.1381620526467411e-07
SGB1429__FOMEKFAC_01618	3.0997000075848493e-07
SGB1429__KEEPILBA_00916	2.743682850721551e-07
SGB1429__FOMEKFAC_01366	1.890294730274346e-07
SGB1429__AIHKBDOK_00229	1.5475130289875354e-07
SGB1429__EFCNLGDG_01085	5.2037483599805527e-08
SGB1429__GPMLFLGE_01785	3.8189745023745575e-07
SGB1429__JLONMDDI_01250	1.675326072431305e-07
SGB1429__KEEPILBA_01076	2.391804262409681e-07
SGB1429__NBMCHGBD_01723	1.208112470382003e-07
SGB1429__MCFJDCCH_00470	1.8843154890700791e-07
SGB1429__FAJABBFM_00421	3.234973317236473e-07
SGB1429__GJBEJBML_00645	4.106510371987602e-07
SGB1429__FCIFOKNG_00365	6.965046479733581e-08
SGB1429__HINHLFMI_00391	7.132996769875839e-08
SGB1429__GIPJGBCF_01416	7.331892448615723e-08
SGB1429__PPFLALOC_00429	2.2341774865071618e-07
SGB1429__BCGOLGAC_00302	7.816218105339519e-08
SGB1429__KMMPGKAG_01608	1.6447284698151684e-07
SGB1429__GNAKOKMD_00955	1.710097571197055e-07
SGB1429__BCGOLGAC_01608	1.741560134241012e-07
SGB1429__POAICNEB_00810	9.869968803672776e-08
SGB1429__PPFLALOC_00160	1.0623174772719731e-07
SGB1429__INEJDNIN_00759	1.0867086211778648e-07
SGB1429__FOMEKFAC_01003	1.0917218768142056e-07
SGB1429__MCFJDCCH_00532	1.208831266470511e-07
SGB1429__BCGOLGAC_00442	1.323786074144496e-07
SGB1429__KEEPILBA_00917	2.7879300665468465e-07
SGB1429__INEJDNIN_00691	1.481214879699957e-07
SGB1429__JLONMDDI_01648	1.7559880735945095e-07
SGB1429__GIPJGBCF_00227	1.795967448806222e-07
SGB1429__PPFLALOC_00440	3.619403093724246e-07
SGB1429__FGBEEFCA_00167	2.0801219106866372e-07
SGB1429__MCFJDCCH_00908	2.136459656338201e-07
SGB1429__CEHFHDIH_01825	3.455322247528302e-08
SGB1429__PPBOCMHH_01628	6.357171664381694e-08
SGB1429__DDHFFNGD_01770	2.4812067925848343e-08
SGB1429__GOIMFBGK_00789	5.373709844341257e-08
SGB1429__HLPFHAPI_00726	8.267061307617226e-08
SGB1429__FGBEEFCA_00336	5.6027120941758635e-08
SGB1429__FCIFOKNG_01176	6.132662141091677e-08
SGB1429__IFDGAGJH_00553	7.444529522161484e-08
SGB1429__GJBEJBML_01820	1.9247073235516847e-07
SGB1429__DDHFFNGD_01773	7.787501105729274e-08
SGB1429__AIHKBDOK_01924	7.787501105729274e-08
SGB1429__FOMEKFAC_00799	4.0607877322802144e-08
SGB1429__LAKFDGBF_01653	1.257063396906081e-07
SGB1429__GJBEJBML_00886	8.470411016198874e-08
SGB1429__NBMCHGBD_00524	1.4736333398864612e-07
SGB1429__DDHFFNGD_01040	2.0499455648819305e-07
SGB1429__IFDGAGJH_00966	1.5714912967029673e-07
SGB1429__MCFJDCCH_01157	1.1494330554759364e-07
SGB1429__MCFJDCCH_01134	5.8465561670762795e-08
SGB1429__GJBEJBML_01351	2.3444144760670607e-07
SGB1429__LAKFDGBF_00797	1.1809819657428523e-07
SGB1429__CKPCDBHO_00168	6.231433963220784e-08
SGB1429__LAKFDGBF_00270	6.399957199953428e-08
SGB1429__DIIFPECF_00507	2.580922461927055e-07
SGB1429__CKPCDBHO_01706	1.3229241175523756e-07
SGB1429__POAICNEB_02265	1.3454888937824483e-07
SGB1429__BHALJGKF_00139	6.765912612338871e-08
SGB1429__HLPFHAPI_00567	6.924287450817972e-08
SGB1429__INEJDNIN_01571	7.309246868987127e-08
SGB1429__JLONMDDI_00040	1.5036474097766215e-07
SGB1429__POAICNEB_01688	8.055679827194093e-08
SGB1429__NBMCHGBD_00353	2.4670927047227525e-07
SGB1429__IFDGAGJH_00005	2.528601521747122e-07
SGB1429__LAKFDGBF_01558	2.546742844741296e-07
SGB1429__CEHFHDIH_00326	3.483120268482024e-07
SGB1429__GPMLFLGE_00102	8.739960421666069e-08
SGB1429__BHALJGKF_00744	2.681406127814635e-07
SGB1429__IFDGAGJH_00504	9.006050420837633e-08
SGB1429__CKPCDBHO_00792	2.7542232046992166e-07
SGB1429__FAJABBFM_00418	1.8724697718553918e-07
SGB1429__FAEKJNFO_01096	1.0344554886618063e-07
SGB1429__NBMCHGBD_00537	1.0389972145231719e-07
SGB1429__BCGOLGAC_00310	5.359706772414854e-07
SGB1429__LAKFDGBF_00802	1.0867086211778648e-07
SGB1429__LDAMFDJD_00041	1.1018884446468176e-07
SGB1429__BCGOLGAC_01778	1.1018884446468176e-07
SGB1429__PCLEBMPK_00732	1.1335569036127619e-07
SGB1429__HCBPCMKK_00515	3.484115771201806e-07
SGB1429__GNAKOKMD_00901	1.2603347132982194e-07
SGB1429__AIHKBDOK_02167	1.2603347132982194e-07
SGB1429__PPFLALOC_00847	1.5095604071453005e-07
SGB1429__KMMPGKAG_01128	1.6015027171609983e-07
SGB1429__FGHBLMLG_01692	3.2469523413317546e-07
SGB1429__GPMLFLGE_02223	1.809701546862123e-07
SGB1429__FGHBLMLG_00395	1.912054403410134e-07
SGB1429__GPMLFLGE_00884	2.1559232358980206e-07
SGB1429__GIPJGBCF_00980	2.2165015686041963e-07
SGB1429__DPKNGIGF_02232	4.5611653020740697e-07
SGB1429__FAEKJNFO_00103	2.3254023193609704e-07
SGB1429__EFCNLGDG_01466	2.471093497310419e-07
SGB1429__HINHLFMI_01237	2.636260576381842e-07
SGB1429__MCFJDCCH_01130	3.082694153552655e-07
SGB1429__OBHDJCDA_00223	3.082694153552655e-07
SGB1429__PPFLALOC_00042	5.8521011315842895e-08
SGB1429__GIPJGBCF_00677	9.198993211637515e-08
SGB1429__JLONMDDI_01102	6.812335978190236e-08
SGB1429__HINHLFMI_01415	1.419682202944918e-07
SGB1429__FGHBLMLG_01770	7.686326466507302e-08
SGB1429__BHALJGKF_01069	7.723957372909117e-08
SGB1429__PPBOCMHH_01839	1.5600671044799415e-07
SGB1429__EFHKLOHD_00688	4.368101176097364e-08
SGB1429__KEEPILBA_01448	9.33957047569979e-08
SGB1429__KMMPGKAG_01388	2.887334508706995e-07
SGB1429__HLPFHAPI_01423	4.861654644978219e-08
SGB1429__PCLEBMPK_01587	5.016232672643741e-08
SGB1429__GPMLFLGE_00083	5.180963229609119e-08
SGB1585__JDLOKIOG_00392	6.108915665954892e-08
SGB1585__APJPPOGM_00601	3.630888192669362e-08
SGB1585__BHIODAMH_01728	9.906473415907335e-08
SGB1585__DJIPDHEF_00082	1.4138149473328577e-07
SGB1585__CJHJHDFO_00794	8.195163883722375e-08
SGB1585__BHIODAMH_01667	1.6447284698151684e-07
SGB1585__DBAJEIFL_00015	8.837880914641582e-08
SGB1585__NLACKKMA_00852	2.7879300665468465e-07
SGB1585__DNJKNGAH_00841	1.5290679242091512e-07
SGB1585__GGHLICPF_01444	2.1559232358980206e-07
SGB1585__JPIDOHCM_00300	3.958117564120102e-08
SGB1585__LCANFHOD_00297	5.23695410977231e-08
SGB1585__DLEJENAJ_00644	1.728837199526877e-07
SGB1585__JDLOKIOG_00394	9.006050420837633e-08
SGB1585__MJAOIFPJ_01320	9.748000411537962e-08
SGB1585__JINJPIIE_00367	1.048201367453211e-07
SGB1585__FOJEBBDP_00356	1.0917218768142056e-07
SGB1585__PFPEOMHO_00475	2.755468309627836e-07
SGB1585__DOMBFFNJ_02378	5.747165277379682e-08
SGB1585__MFPHCFLM_00003	1.728837199526877e-07
SGB1585__ICFKHMLD_00890	9.437018549442352e-08
SGB1585__PEJDACPI_00750	2.930023268076578e-07
SGB1585__MOLOIGMG_00811	8.672173551651195e-08
SGB1585__DJPFJMPG_01379	9.865176401143185e-08
SGB1585__NJFGLJGB_01780	1.057019845849755e-07
SGB1585__FDOEKMDD_01630	7.447258288357206e-08
SGB1585__CGLDFDJF_00281	1.728837199526877e-07
SGB1699__NHFEEPJO_00276	2.2598103221782567e-07
SGB1699__GHFBIHLB_01231	8.546890928275059e-08
SGB1699__GEGPMIGP_00361	1.2960764734619096e-07
SGB1699__GJLKKCCN_01426	1.358058023388844e-07
SGB1699__CMNPCGHN_00395	9.284606720037914e-08
SGB1699__BEMJEBGK_01809	2.0769323193318093e-07
SGB1699__GGLCHOMO_01080	1.1438771125208949e-07
SGB1699__JOEEPENL_01301	1.2269027607263812e-07
SGB1699__EBDHCGDB_01035	1.2237305598638985e-07
SGB1699__GBDPHLAJ_00918	1.8994397396145538e-07
SGB1699__HHBGBIJO_00858	2.6093806417072296e-07
SGB1699__OHGHCCKO_01282	6.614620587761878e-08
SGB1699__HLDNDMBB_01868	7.154561786192098e-08
SGB1699__DFGDKEMN_00032	7.518237048883107e-08
SGB1699__BPPPCPFB_01783	7.816218105339519e-08
SGB1699__CDBIPHKG_01198	8.055679827194093e-08
SGB1699__JOIDKAEK_00156	4.968718330282179e-07
SGB1699__AJAIHPJJ_00941	1.9657949902481334e-07
SGB1699__AAJCBKJB_00391	2.1834437536284112e-07
SGB1699__LEKJDPGK_00500	1.0967816016005048e-07
SGB1699__MAOGLPBP_01200	2.3574518916383755e-07
SGB1699__LEOCEBOM_01178	2.39321293360586e-07
SGB1699__JCPIBHLM_01698	2.6328443536823604e-07
SGB1699__NOLPNBEL_00675	1.3463805153982176e-07
SGB1699__KKPIFLNE_00127	1.4539142392117192e-07
SGB1699__EAOGPLBP_00354	1.6015027171609983e-07
SGB1699__JIJHHLEP_01401	1.823647318040771e-07
SGB1699__HFGAGLKP_00608	2.471093497310419e-07
SGB1699__KEFHGKKM_00698	3.123380629629464e-07
SGB1699__GKFGDGOH_00319	1.3937395889833323e-07
SGB1699__BKIMOLDF_00715	3.0505204939992325e-08
SGB1699__JCGMLFLD_01261	1.0367729956020952e-07
SGB1699__MKHOGCLD_01301	7.409565933065621e-08
SGB1699__LBAKKJGC_00927	1.0227579039429615e-07
SGB1699__LBAKKJGC_01388	6.382695802943678e-08
SGB1699__GKLPODAA_00040	6.434761608062186e-08
SGB1699__NAGBCELK_00926	1.3889214320896656e-07
SGB1699__GFBHAOHD_00092	1.5479060269548077e-07
SGB1699__CALKJNKH_00440	8.339563382614443e-08
SGB1699__ILNICLOG_00063	9.006050420837633e-08
SGB1699__LGPFBEBD_01521	1.0210654640513248e-07
SGB1699__LPELDFDC_00658	2.3692528964818254e-07
SGB1699__KKJDGIDP_00679	1.7824402409138816e-07
SGB1699__KGHIEJLF_00182	1.9434595240447374e-07
SGB1699__ILAJHDLJ_00292	1.6672283379015331e-07
SGB1699__DIJPDEOO_00941	1.6940822032397748e-07
SGB1699__KJMIOJGL_01735	2.1574029236159847e-07
SGB1699__KJKNNOGD_01859	1.0836409437066783e-07
SGB1699__CDOENJBD_01176	1.7116788510656148e-07
SGB1699__GLDMDFCK_00021	1.1383746220267194e-07
SGB1699__JMFCBNEL_00794	5.9049098287142614e-08
SGB1699__LKOAFKGP_00632	1.552985007904835e-07
SGB1699__HCEEAFBN_01106	8.195163883722375e-08
SGB1699__CEDIKNMP_01017	1.6575906852357132e-07
SGB1699__CFOACGJP_01761	1.795967448806222e-07
SGB1699__KODHKBHA_00079	3.619403093724246e-07
SGB1699__BMGDDNNG_01044	5.085038803586598e-08
SGB1699__HHBGBIJO_00685	3.476215962249891e-08
SGB1699__KCDHEOAE_01656	4.0399904490343396e-08
SGB1699__OMEJMMLP_01517	4.3360867758255974e-08
SGB1699__NPNNJHIM_00033	1.890294730274346e-07
SGB1699__GLLIEHKD_01339	5.2152162450815606e-08
SGB1699__DEKACAFL_00312	1.5132625365823992e-07
SGB1699__DGLDOPGJ_00764	8.223642349075842e-08
SGB1699__ONFOIEGA_01619	1.7303095478170085e-07
SGB1699__GKNLHAOK_01103	3.647294636081542e-07
SGB1699__NKPALIFL_00011	4.8654881615658936e-08
SGB1699__DMBLGJKA_00640	2.7334065020241582e-08
SGB1699__IINFENOG_00115	2.8180354110639816e-08
SGB1699__HABEPNFN_00871	5.7806265754018555e-08
SGB1699__NEHEPFEK_01242	2.87277001926415e-08
SGB1699__GLLIEHKD_01119	3.015535991854623e-08
SGB1699__ACPIGNFF_00507	3.164746674667583e-08
SGB1699__LBFELMBF_01531	6.380691309987454e-08
SGB1699__OBCBDOBM_00030	9.768576953931791e-08
SGB1699__LPELDFDC_00654	6.58486858926063e-08
SGB1699__PDDKOGHP_00505	7.329247555477482e-08
