#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL656.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 58135088 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL656.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB746__CBCDNJFD_01080	1.375463564571094e-08
SGB746__CFNBJNPK_00470	2.236600231612555e-08
SGB746__EOOLBAPC_00749	1.2835209698721542e-08
SGB746__FBNKIDAC_01023	1.0473710003091183e-07
SGB746__DBMHFELA_00573	1.5693440374203766e-08
SGB746__BHFELBJA_00361	1.9815285588237595e-08
SGB746__KPPDOFPN_00212	1.0099610078574698e-08
SGB746__JHNJNBDB_00022	5.287968336226644e-08
SGB746__JDCCBIME_00070	3.2884476287309034e-08
SGB746__LLHGHDON_01315	4.537610114636711e-08
SGB746__JFGICOBG_00713	3.226257028379885e-08
SGB746__DLKHOFJI_01091	2.9274691534434975e-08
SGB746__BFDNDFEG_00666	3.170263479528453e-08
SGB746__JFGICOBG_01389	3.8647419933033744e-08
SGB746__INBKPICC_00815	2.2161894125600854e-08
SGB964__FOPDFMHP_00317	1.322332274778887e-07
SGB964__OJIINDAI_00136	2.0720324812173118e-08
SGB964__KICDHMHN_01062	7.973830824107242e-08
SGB964__HLKPKNNN_00549	3.7299592702256003e-08
SGB964__GFIOPBMB_00667	3.6906108738412315e-08
SGB985__PJDEJKBB_01202	1.414485150152317e-08
SGB985__PJDEJKBB_00667	2.6335276800933198e-08
SGB985__PJDEJKBB_00222	6.241787729428581e-08
SGB985__MIGBIKPD_00946	2.1179548299229983e-08
SGB985__OCDFGBMC_01415	8.09157034079748e-08
SGB985__KOINLAGL_00171	1.0361719288610532e-08
SGB985__BNNFIPFJ_00869	5.335120460116611e-09
SGB985__FPNOLFLN_01062	1.079072669021491e-08
SGB985__KOINLAGL_01076	1.2164288630240952e-08
SGB985__KOINLAGL_01014	1.306511903757647e-08
SGB985__CLJIAPON_01001	1.3432408176784768e-08
SGB1505__IOLNBBLM_01125	1.2242204728758572e-08
SGB1557__EFLHKDHD_00282	2.2064760527786357e-08
SGB1699__GEGPMIGP_00361	2.0975087128272313e-08
SGB1699__HPGIFFGE_00917	1.7174126331495687e-08
SGB1699__EOGAPBLL_00653	1.7515131531654957e-08
SGB1790__DMEPHNAF_00171	3.002848609873477e-08
SGB1790__PMMHKOLK_00526	1.2482059287636874e-08
SGB1790__KELIFCDH_00155	1.3354196563821313e-08
SGB1790__NDHALAOA_01366	2.3464344401727628e-08
SGB1790__LGACJHME_01128	4.721853780372245e-08
SGB1790__MBJDAFON_02946	2.68107344837279e-08
SGB1790__IIPPLFGH_01161	9.180838524349152e-08
SGB1790__PBGAKEIC_02449	3.101665720497077e-08
SGB1790__CPCPKIDJ_00749	4.904542782945436e-08
SGB1790__PKJAGNDN_01392	3.355809772106707e-08
SGB1790__MHLDADDF_01804	1.7232915428704013e-08
SGB1790__EHGCNOPA_00625	7.287409185538757e-08
SGB1790__IDDHJONL_01951	1.875484894170857e-08
SGB1790__BDMGOCBG_01128	4.5738064454137776e-08
SGB1790__HJHMNHGJ_03007	4.592122030466719e-08
SGB1790__LPFCEBOD_00185	4.906486615836829e-08
SGB1790__EHHFPKJG_01296	1.6021932816904476e-07
SGB1790__JKANKOIM_00344	5.547323448058828e-08
SGB1790__EKFCLDLF_01019	5.547323448058828e-08
SGB1790__PMGHDMKJ_00334	3.0063488983351134e-08
SGB1790__OGKIGLAJ_03167	2.9906681352564255e-08
SGB1790__HDAJMLLO_02391	3.338983006328061e-08
SGB1790__EBDCMNHK_02300	1.0702520176231034e-07
SGB1790__EKEKCKEC_02628	3.682053941934572e-08
SGB1790__ODIENJGE_02637	3.779127574097789e-08
SGB1790__DMAFANJP_01209	7.558255148195579e-08
SGB1790__GLPCAILH_00376	4.560671259524286e-08
SGB1790__KDNHNKCD_00909	4.7892341273496386e-08
SGB1790__MEJDGLIF_02329	5.807991954046566e-08
SGB1790__CAPBDNKN_01333	1.1385329793776541e-07
SGB1790__PCEEICNL_01040	5.749750183272856e-08
SGB1790__GJGHFDDB_00491	2.373505038525588e-08
SGB1790__CFPLHELD_01404	5.6465651559817054e-08
SGB1790__JJIHOMHI_01364	3.044032627611172e-08
SGB1790__LIAHFCPG_01090	3.0521344469898545e-08
SGB1790__KLINEJIJ_01266	3.365658882943167e-08
SGB1790__NJMEEKDL_01491	3.890968339639054e-08
SGB1790__FCCODOIC_01314	2.1024228668395664e-08
SGB1790__AJFLIHDC_00762	9.567364511103142e-08
SGB1790__OGDJOPKH_02006	2.4532433079184144e-08
SGB1790__LJELBDAH_01054	1.0251596551956753e-07
SGB1790__GNKHOMAH_01659	5.148812598182382e-08
SGB1790__MMAKBANK_01978	8.048449505605271e-08
SGB1790__JKEDDENL_02719	9.311996368261819e-08
SGB1790__HFDLDKJI_03119	1.3593410073513015e-07
SGB1790__GNNMDMKI_01797	6.919743029582601e-08
SGB1790__ELDDLMEM_03071	7.923837076424877e-08
SGB1790__EMBJLGJC_00134	9.194475846554894e-08
SGB1790__LFMFEMGO_02984	1.1056026898016793e-07
SGB1790__NONCLOLN_01159	6.462619341861522e-08
SGB1790__OKLLMLLD_02274	2.0545727750115116e-07
SGB1790__OIJLHFHE_01666	1.495658428237922e-08
SGB1790__CMFMAAKK_01666	4.04578517039874e-08
SGB1790__MNIPOJFL_00551	4.04578517039874e-08
SGB1790__CLNLJHEB_00602	8.51199869274767e-08
SGB1790__JHPMPJMN_00158	5.178525022088695e-08
