#mpa_vJan21_CHOCOPhlAnSGB_202103
#/opt/software/miniconda3/envs/metaphlan4/bin/metaphlan -t marker_ab_table /datastore/shekas3/UCFMT1/results/Metaphlan4/PMCL741_S314.mp.bowtie2out --bowtie2db /dataone/common/ref_dbs/metaphlan4/ --nreads 31958482 --input_type bowtie2out --nproc 30 -o /datastore/shekas3/UCFMT1/results/StrainPhlan4/PMCL741_S314.marker_abund_norm.txt
#SampleID	Metaphlan_Analysis
SGB1348__APLIOKPB_00557	9.739780969625793e-09
SGB1557__DEPGGKKO_00225	2.1485930705808463e-08
SGB1557__ENIIMIAK_01667	6.521189063033777e-08
SGB1557__EMDNHNGM_01152	1.0034516996475727e-07
SGB1626__JKGFEDKB_01669	6.6766344127480305e-06
SGB1626__PGIJIHBI_01431	5.094566234588994e-06
SGB1626__ONGJBKPP_00527	1.1954110234441356e-05
SGB1626__DBAJNPIO_00565	8.125658770036632e-06
SGB1626__GLECPMAG_02882	1.1326999786865103e-05
SGB1626__OFGLAOEI_01287	1.255207932878475e-05
SGB1626__MFDAEPID_01853	8.492500967324977e-06
SGB1626__GDNKOILC_00168	1.0992675705630474e-05
SGB1626__GINGDKPC_01191	1.4392515003287227e-05
SGB1626__POGPBFIC_02214	8.932081962998907e-06
SGB1626__BCGFICII_01604	1.4768491105509976e-05
SGB1626__KGGLIJOH_01222	1.2487487895265773e-05
SGB1626__CPEHNFAP_01350	7.337657575607411e-06
SGB1626__HEAGBICA_01055	5.605333148892187e-06
SGB1626__HHJLPEFD_02401	8.226013210749101e-06
SGB1626__MBMOIDHN_00131	9.529330508951421e-06
SGB1626__CJMGHFPE_00617	9.891454511915516e-06
SGB1626__MBGADBGD_00436	9.623954081058585e-06
SGB1626__HIHEJOOO_01861	2.3811897262564036e-06
SGB1626__HGHAPBPI_01724	8.666191362042533e-06
SGB1626__EHNBEAPO_01181	1.3735676118864236e-05
SGB1626__IBAHGNKN_00277	8.531451448565514e-06
SGB1626__CDHPEKNH_00374	1.037714855799072e-05
SGB1626__PNAIKOMK_00935	1.106057106499359e-05
SGB1626__MAFANADB_02148	9.5718243704026e-06
SGB1626__BHKLIBGK_00478	6.0430518705818785e-06
SGB1626__IJNPLPOI_01243	1.2250660167924477e-05
SGB1626__ACFGDLPC_00855	9.444683995488202e-06
SGB1626__GLAACOHN_01324	7.5383803736173375e-06
SGB1626__PKCGCMDK_01618	9.265833729794669e-06
SGB1626__OGBOEHDC_00389	8.221775164352122e-06
SGB1626__BNGJGNIB_00203	9.275970584185676e-06
SGB1626__AOONLKPD_01483	9.118793911355773e-06
SGB1626__HFMHLNHI_00656	9.487761819354088e-06
SGB1626__KHFKPLJE_00492	9.451088336378116e-06
SGB1626__BAPDJJBF_00809	1.0374798867664903e-05
SGB1626__NLHONMMJ_02258	7.180108358958986e-06
SGB1626__BNMKBMFA_00728	1.2067326570320338e-05
SGB1626__OPKBAEDP_02466	1.0365493519327677e-05
SGB1626__NCCBFFMM_00837	9.00030611058508e-06
SGB1626__NGKNCIAN_00627	1.0599924672245617e-05
SGB1626__GCLBJKJI_01329	9.582110550727717e-06
SGB1626__OGHMBJMD_01598	1.1088277841532614e-05
SGB1626__KKPIKNHA_01390	1.3621486098130619e-05
SGB1626__LJMPOLHE_02148	1.3224452046183849e-05
SGB1626__CJKDNIEK_01420	1.397429790977165e-05
SGB1626__AEJFEFNH_00712	1.1692094434392137e-05
SGB1626__BAKAOHPE_01611	1.1292981880933984e-05
SGB1626__DGCPFGGB_00245	5.492563366349641e-06
SGB1626__MIEFNGLI_01595	5.991907848815787e-06
SGB1626__FOBFNOPB_01868	7.123491682580764e-06
SGB1626__CNMFEDMN_00956	1.026316112917593e-05
SGB1626__MKBAACCO_01090	1.5228400891840758e-05
SGB1626__PBJCLJJF_02350	9.244176036428215e-06
SGB1626__OOEFHFHP_00529	1.3178861342166859e-05
SGB1626__NCCBFFMM_01844	6.284043277563341e-06
SGB1626__PFLFKLBK_02038	1.0084204967910207e-05
SGB1626__EJLGNHKA_01493	1.1520266018372677e-05
SGB1626__ONMCBEKG_02109	1.597363915543457e-05
SGB1626__KHFFFELI_00283	1.3231321834652431e-05
SGB1626__BKJBMGDC_00871	7.43245484282476e-06
SGB1626__IAGHLKEE_00906	1.4166518024263201e-05
SGB1626__CHPJCKNJ_00140	6.473960988589114e-06
SGB1626__KEGKJHMH_00345	8.554485048405512e-06
SGB1626__AAECJOKP_00320	6.77586197061916e-06
SGB1626__ONMCBEKG_00068	8.802237386136769e-06
SGB1626__PCFAHCFG_01041	1.034756573147011e-05
SGB1626__HFONKFDL_00325	9.1450849172803e-06
SGB1626__KIDKLKAD_01969	1.1618446370450569e-05
SGB1626__CNMFEDMN_01650	1.144949369729707e-05
SGB1626__CIBGGFMB_01782	1.525625454605271e-05
SGB1626__ONCJIAIF_01369	1.0256236688809641e-05
SGB1626__NJMEKLMF_01818	1.2990555880271136e-05
SGB1626__FDJHFIDD_00996	1.0169919024752379e-05
SGB1626__OGIPJFFB_01138	7.827481061380079e-06
SGB1626__BCGFICII_00586	6.822688484530399e-06
SGB1626__LMIPEHLG_00745	1.2671572956446989e-05
SGB1626__NIBHHIHL_00715	1.1133641008503943e-05
SGB1626__NLMKPDNB_02425	1.1977701016085423e-05
SGB1626__IDNPDIBN_00612	1.2496326207849431e-05
SGB1626__NKAKDHCH_00270	1.1678205682383071e-05
SGB1626__OMHIOHNL_02064	1.088263155725829e-05
SGB1626__NAAKCDEF_01997	9.392513170478355e-06
SGB1626__MOCNMKFM_00617	1.0485744143525714e-05
SGB1626__CJMGHFPE_00462	9.92216374877086e-06
SGB1626__FBLCPEKA_01464	1.0125683633781553e-05
SGB1626__CIBGGFMB_01656	9.54382109938887e-06
SGB1626__FCNLDIIE_00977	1.2211226154441107e-05
SGB1626__OOIBPJHO_02122	6.510039037705421e-06
SGB1626__BCGFICII_00871	9.38724564007626e-06
SGB1626__BBEAPAMA_01286	1.0082838319507675e-05
SGB1626__NGKNCIAN_00340	8.264641865204775e-06
SGB1626__HCJKKKBB_00574	9.103643492789728e-06
SGB1626__KGGLIJOH_01759	1.0723138648581333e-05
SGB1626__MPIDHCDO_02421	1.0324522131889367e-05
SGB1626__LPIJKFGP_00581	7.927206958963407e-06
SGB1626__GEFEJMBG_01050	1.3621486098130619e-05
SGB1626__NIGCHIEP_01523	9.360400988061808e-06
SGB1626__FELJEKNC_02440	1.2166528460847458e-05
SGB1626__KMDOLJEE_01601	1.2416445190614926e-05
SGB1626__MBGADBGD_00554	1.1752425750787016e-05
SGB1626__JFBMKBAG_00088	9.051557721103043e-06
SGB1626__HFDNMCKG_01787	1.2288603562490456e-05
SGB1615__BKKABBPM_00818	7.987759309438558e-08
SGB1699__NHFEEPJO_00276	1.0853655502612158e-06
SGB1699__GEIKCAGN_01463	4.5284053192914024e-07
SGB1699__PANEMBBO_00585	4.064463375444326e-07
SGB1699__CEDIKNMP_00311	3.639128164128474e-07
SGB1699__IOOPLNPD_00894	8.185514713999825e-07
SGB1699__CBAIJPBO_00850	5.407986583934989e-07
SGB1699__GHFBIHLB_01231	5.745811253813901e-07
SGB1699__GEGPMIGP_00361	7.438654843991217e-07
SGB1699__GJLKKCCN_01426	8.535561976769722e-07
SGB1699__CMNPCGHN_00395	5.828159604139725e-07
SGB1699__GFNNGKDA_00681	4.742112440110463e-07
SGB1699__BEMJEBGK_01809	5.831917511987043e-07
SGB1699__EKGDNPFI_00384	5.239172200467057e-07
SGB1699__JECPAFIK_00896	5.601530236075302e-07
SGB1699__GGLCHOMO_01080	6.150907928457604e-07
SGB1699__BGIDBFOC_00025	7.587557998876028e-07
SGB1699__AFMOMAII_00239	1.2147902556678756e-06
SGB1699__OIHNIEGC_00910	1.0286037384842883e-06
SGB1699__BEMJEBGK_00765	8.775393455252161e-07
SGB1699__JOEEPENL_01301	6.315416680301503e-07
SGB1699__EBDHCGDB_01035	1.0332258897791753e-06
SGB1699__MHPIBOMJ_01906	1.0146957989282238e-06
SGB1699__GBDPHLAJ_00918	8.065530709429471e-07
SGB1699__OEPHOKEE_00295	8.409619363228643e-07
SGB1699__HHBGBIJO_00858	4.81534043625275e-07
SGB1699__OHGHCCKO_01282	4.877895779271938e-07
SGB1699__APPIHPIE_00131	4.630965632694681e-07
SGB1699__ICIDCCIP_00348	9.781204782318977e-07
SGB1699__GKNLHAOK_01624	3.626571638521679e-07
SGB1699__LJNKIIEE_00135	9.205912620862723e-07
SGB1699__MKOPLHFJ_00098	7.011683250535723e-07
