#mpa_vJan21_CHOCOPhlAnSGB_202103
clade_name	DonorB_D_2013.mp.profile_sp	DonorB_D_2016.mp.profile_sp	DonorB_D_May17.mp.profile_sp	DonorB_D_Oct17.mp.profile_sp	DonorB_P10.mp.profile_sp	DonorB_P11.mp.profile_sp	DonorB_P12.mp.profile_sp	DonorB_P13.mp.profile_sp	DonorB_P1.mp.profile_sp	DonorB_P2.mp.profile_sp	DonorB_P3.mp.profile_sp	DonorB_P4.mp.profile_sp	DonorB_P5.mp.profile_sp	DonorB_P6.mp.profile_sp	DonorB_P7.mp.profile_sp	DonorB_P8.mp.profile_sp	DonorB_P9.mp.profile_sp	PMCL293_S293.mp.profile_sp	PMCL297_S294.mp.profile_sp	PMCL356.mp.profile_sp	PMCL360.mp.profile_sp	PMCL380.mp.profile_sp	PMCL385.mp.profile_sp	PMCL399_S310.mp.profile_sp	PMCL402_S311.mp.profile_sp	PMCL634_S291.mp.profile_sp	PMCL635_S292.mp.profile_sp	PMCL636_S295.mp.profile_sp	PMCL637_S296.mp.profile_sp	PMCL656.mp.profile_sp	PMCL657.mp.profile_sp	PMCL662_S297.mp.profile_sp	PMCL663_S298.mp.profile_sp	PMCL683_S299.mp.profile_sp	PMCL684_S300.mp.profile_sp	PMCL706_S301.mp.profile_sp	PMCL708_S302.mp.profile_sp	PMCL718_S303.mp.profile_sp	PMCL719_S304.mp.profile_sp	PMCL720.mp.profile_sp	PMCL721.mp.profile_sp	PMCL726.mp.profile_sp	PMCL727.mp.profile_sp	PMCL730_S311.mp.profile_sp	PMCL731_S312.mp.profile_sp	PMCL734_S305.mp.profile_sp	PMCL735_S306.mp.profile_sp	PMCL740_S313.mp.profile_sp	PMCL741_S314.mp.profile_sp	PMCL796.mp.profile_sp	PMCL797.mp.profile_sp	PMCL800.mp.profile_sp	PMCL801.mp.profile_sp	PMCL805_S307.mp.profile_sp	PMCL806_S308.mp.profile_sp	PMCL813.mp.profile_sp	PMCL817.mp.profile_sp	PMCL818.mp.profile_sp	PMCL820_S309.mp.profile_sp	PMCL821_S310.mp.profile_sp	PMCL822.mp.profile_sp	PMCL823.mp.profile_sp	PMCL824.mp.profile_sp	PMCL825.mp.profile_sp	PMCL883.mp.profile_sp
k__Bacteria	99.9341	99.99583	99.45553	99.8203	100.0	100.0	100.0	100.0	100.0	100.0	100.0	99.99328	100.0	99.99151	100.0	99.97513	99.98927	99.89976	100.0	100.0	99.14613	100.0	99.66498	100.0	99.96271	100.0	100.0	99.83772	100.0	99.98824	99.88134	100.0	100.0	100.0	100.0	100.0	96.93686	100.0	100.0	100.0	100.0	100.0	99.84928	100.0	97.44898	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	98.65886	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0	100.0
k__Archaea	0.0659	0.00417	0.54447	0.1797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00672	0.0	0.00849	0.0	0.02487	0.01073	0.0	0.0	0.0	0.85387	0.0	0.33502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06314	0.0	0.0	0.0	0.0	0.0	0.15072	0.0	2.55102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes	83.14891	77.82789	81.80034	87.1087	3.8445	75.06459	74.76901	5.0922	56.09015	6.36913	25.66225	80.47931	98.69333	43.33492	87.66858	33.97215	36.88214	45.09251	23.68445	87.80565	91.3867	78.02295	79.48203	98.15577	92.82895	98.33843	95.53611	84.02439	79.23845	88.78188	85.70907	43.35906	37.53363	67.15673	93.96557	53.92629	46.12368	65.94359	67.9821	78.23041	69.81399	78.21016	63.46121	79.05092	78.86455	70.34082	76.25416	70.08473	59.78278	65.707	59.75826	70.88901	84.954	83.30554	59.09938	90.42819	98.29022	33.77829	36.85996	60.06972	38.50252	31.73719	58.95246	67.99837	46.78452
k__Bacteria|p__Bacteroidetes	12.57263	19.93073	16.32818	8.90136	25.26566	7.39611	0.0049	1.97889	33.88389	71.97482	49.98788	10.27372	1.00998	44.96928	3.10262	55.74443	62.2952	0.23532	23.20005	0.60656	1.56231	13.93874	3.8135	0.85468	3.28194	0.51195	0.47492	0.46474	0.59648	3.91836	9.52773	30.79312	20.76893	4.30752	0.20423	14.00702	42.82693	28.40338	23.56163	0.35502	25.70525	19.4285	34.35511	15.94326	8.83785	22.41867	9.29564	27.26986	34.27154	31.46624	37.53006	24.70374	10.44517	12.0059	25.99179	5.41584	0.0	63.13264	60.34554	36.95646	32.15386	26.47038	35.13094	25.75184	50.37554
k__Bacteria|p__Proteobacteria	2.71324	0.36702	0.84525	2.26604	58.34434	0.32096	25.22609	92.87211	8.91581	21.53534	23.94904	9.01016	0.00037	10.85831	0.81596	10.03979	0.00561	16.10485	53.11549	0.30094	0.70383	0.07027	0.32931	0.12831	1.33872	0.08718	0.05704	0.99823	0.28484	1.43014	1.48195	6.89482	4.21887	5.52481	1.61538	32.06669	2.5382	4.62043	4.0169	0.44992	0.02841	0.18696	0.11963	1.61817	1.29339	0.0	0.0	1.92727	4.91214	1.63776	1.26936	3.15158	2.25582	0.89796	5.85122	0.57709	1.41337	1.67519	1.97855	1.85799	2.70826	10.7698	2.41186	4.27229	2.65596
k__Bacteria|p__Candidatus_Melainabacteria	1.26664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132	0.00765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03671	1.19358	0.0	0.0	0.0	0.0	0.0	0.0	0.0029	0.47731	0.34597	0.01349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria	0.20317	1.63633	0.35512	1.12329	12.23968	17.21834	0.0	0.0568	0.97028	0.02601	0.40082	0.2301	0.29631	0.82901	8.41284	0.21876	0.80632	23.52256	0.0	11.28685	5.44687	7.77189	13.61688	0.63927	1.95337	1.06237	3.93192	14.27284	19.81169	3.47346	3.15346	18.953	37.47857	23.01093	3.34325	0.0	1.44732	1.0326	4.43936	20.95897	4.43309	0.56668	0.01475	0.73239	2.30515	7.24051	14.44564	0.71814	1.03354	1.1861	0.96501	0.9097	2.33152	3.7889	9.05761	1.86708	0.29641	1.32389	0.68481	1.10967	26.63536	20.71281	0.27765	0.52305	0.18399
k__Archaea|p__Euryarchaeota	0.0659	0.00417	0.54447	0.1797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00672	0.0	0.00849	0.0	0.02487	0.01073	0.0	0.0	0.0	0.85387	0.0	0.33502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06314	0.0	0.0	0.0	0.0	0.0	0.15072	0.0	2.55102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia	0.02951	0.22716	0.12663	0.42092	0.0	0.0	0.0	0.0	0.0	0.0947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17479	2.41617	0.22197	0.55973	0.0	0.0	0.0	0.0	2.38026	0.0	0.0	0.0	0.0	0.0	0.0	3.77437	0.0	0.0	0.0	0.0	0.92626	0.35744	2.17881	6.06619	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28099	0.0	0.0	0.0	0.0	0.0	10.29125	3.22709	1.45445	0.0
k__Bacteria|p__Firmicutes|c__Clostridia	70.46157	69.05847	53.34751	32.98921	1.44693	21.1357	0.0131	0.16506	27.59728	3.9944	19.28935	27.9325	50.3305	30.72135	74.44377	21.61273	30.1123	26.5483	3.97673	79.62201	75.75206	62.465	71.66951	31.73049	55.32756	82.1215	91.12986	80.06532	72.31216	82.697	80.12435	40.25816	35.48992	24.41079	67.04638	53.92629	27.653	29.24678	49.85357	67.36844	66.38986	75.25855	56.68011	74.15442	75.37493	57.89888	67.66105	68.48003	58.33843	63.17908	54.58982	69.28907	82.10477	78.39551	52.52487	87.87302	95.58148	29.33395	28.63498	52.21284	31.5	28.11528	55.53056	65.52472	43.93846
