#mpa_vJan21_CHOCOPhlAnSGB_202103
#clade_name	relative_abundance
d__Bacteria	99.99588000000001
d__Archaea	0.00417
d__Bacteria;p__Firmicutes_A	70.88710999999999
d__Bacteria;p__Bacteroidota	19.93072
d__Bacteria;p__Proteobacteria	0.22806
d__Bacteria;p__Firmicutes	5.024470000000001
d__Bacteria;p__Cyanobacteria	0.0
d__Bacteria;p__Firmicutes_C	1.91634
d__Bacteria;p__Actinobacteriota	1.6420600000000003
d__Archaea;p__Methanobacteriota	0.00417
d__Bacteria;p__Verrucomicrobiota	0.23386
d__Bacteria;p__Firmicutes_B	0.0
d__Bacteria;p__Campylobacterota	0.0
d__Bacteria;p__Desulfobacterota_I	0.13326
d__Bacteria;p__Fusobacteriota	0.0
d__Bacteria;p__Patescibacteria	0.0
d__Bacteria;p__Synergistota	0.0
d__Bacteria;p__Spirochaetota	0.0
d__Bacteria;p__Firmicutes_G	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia	70.88710999999999
d__Bacteria;p__Bacteroidota;c__Bacteroidia	19.93072
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.22806
d__Bacteria;p__Firmicutes;c__Bacilli	5.024470000000001
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia	0.0
d__Bacteria;p__Firmicutes_C;c__Negativicutes	1.91634
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia	0.5498700000000001
d__Archaea;p__Methanobacteriota;c__Methanobacteria	0.00417
d__Bacteria;p__Actinobacteriota;c__Actinomycetia	1.0921900000000002
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae	0.22716
d__Bacteria;p__Firmicutes_B;c__Peptococcia	0.0
d__Bacteria;p__Campylobacterota;c__Campylobacteria	0.0
d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia	0.13326
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria	0.0067
d__Bacteria;p__Firmicutes_B;c__Dehalobacteriia	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia	0.0
d__Bacteria;p__Patescibacteria;c__Saccharimonadia	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0
d__Bacteria;p__Synergistota;c__Synergistia	0.0
d__Bacteria;p__Spirochaetota;c__Brachyspirae	0.0
d__Bacteria;p__Firmicutes_G;c__SHA-98	0.0
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales	33.551079999999985
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales	19.93072
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales	32.38146000000001
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales	0.09964
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales	3.0200600000000004
d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20	0.10611000000000001
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales	4.40836
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77	0.05888
d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39	1.72615
d__Bacteria;p__Cyanobacteria;c__Vampirovibrionia;o__Gastranaerophilales	0.0
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales	1.59309
d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales	0.32325000000000004
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	0.15774
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UBA1381	0.03741
d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales	0.35218000000000005
