Marker	Fig_lab	engraft	tUniq	rUniq	Treatment	Remission
BKODAF_1026835	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1062300	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1106260	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1106275	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1126800	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1143125	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1156645	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1194250	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1239415	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1242350	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276205	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276230	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276240	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276245	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276250	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276255	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276260	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276285	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276290	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276320	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276325	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276340	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276350	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276355	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276360	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276365	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276385	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276395	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276400	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276415	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276450	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276465	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276485	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276490	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276495	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276515	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276530	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276555	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276570	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276585	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276600	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276605	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276640	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276645	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1276650	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1283410	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1307095	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1307165	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1348055	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1348075	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_136135	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1375975	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1390900	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1390915	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1396600	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1396790	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1400555	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_141265	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1443280	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1456195	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1460925	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1474580	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1490075	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1490170	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1493385	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1493485	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1493490	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1493495	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1498175	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1508155	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1544715	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1576665	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1576810	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1583505	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1583535	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1625850	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1629370	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1629450	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1638320	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1689720	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1689800	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1698230	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1698320	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_169935	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1699450	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1708205	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_171755	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1768915	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1768925	*pt10	1	FMT	F-Res	FMT	Res
BKODAF_1768945	*pt10	1	FMT	F-Res	FMT	Res
