"","sample","bin_id","bin_len","bin_covbases","bin_numreads","bin_coverage"
"1","DonorB_D_2013","bin_100",1692583,1585273,29853,93.6599859504674
"2","DonorB_D_2013","bin_101",2208582,2202322,68993,99.7165602182758
"3","DonorB_D_2013","bin_104",2791061,1233858,15659,44.2074895532559
"4","DonorB_D_2013","bin_107",2418589,1838708,34738,76.0239958091267
"5","DonorB_D_2013","bin_108",1334333,207442,3750,15.5464940161114
"6","DonorB_D_2013","bin_109",1945922,1929164,70000,99.1388144026328
"7","DonorB_D_2013","bin_11",2652403,2322609,55420,87.5662182556723
"8","DonorB_D_2013","bin_110",2489628,1149721,20117,46.1804333820153
"9","DonorB_D_2013","bin_112",1976985,115761,4676,5.85543137656583
"10","DonorB_D_2013","bin_113",2101716,1305748,24052,62.1277089768551
"11","DonorB_D_2013","bin_116",2940545,2753750,124009,93.6476061410385
"12","DonorB_D_2013","bin_117",2441739,2439929,352249,99.9258725031627
"13","DonorB_D_2013","bin_118",2094480,2054626,104343,98.0971888010389
"14","DonorB_D_2013","bin_12",2160944,2160928,994229,99.999259582849
"15","DonorB_D_2013","bin_122",3027848,161370,3692,5.32952777021832
"16","DonorB_D_2013","bin_123",1431238,1403133,84105,98.0363154136489
"17","DonorB_D_2013","bin_126",1800315,1798838,565435,99.9179588016542
"18","DonorB_D_2013","bin_127",2006863,1270682,28122,63.3168283036759
"19","DonorB_D_2013","bin_129",2871564,2867989,230752,99.8755033842185
"20","DonorB_D_2013","bin_13",1439546,223800,7221,15.5465681541264
"21","DonorB_D_2013","bin_132",1767901,37421,3135,2.11669092330396
"22","DonorB_D_2013","bin_133",2386911,1589595,28192,66.5963247058646
"23","DonorB_D_2013","bin_134",2820780,942950,22212,33.4286970270634
"24","DonorB_D_2013","bin_135",1959837,70175,7164,3.58065492181238
"25","DonorB_D_2013","bin_137",2430177,2426083,162226,99.8315349046592
"26","DonorB_D_2013","bin_138",2764838,2764816,874358,99.9992042933438
"27","DonorB_D_2013","bin_139",2803639,1922224,30401,68.5617513524387
"28","DonorB_D_2013","bin_141",2116228,1813919,30924,85.7147245003846
"29","DonorB_D_2013","bin_142",2489841,2213958,217801,88.9196539056108
"30","DonorB_D_2013","bin_143",1875593,945978,11709,50.4362087083925
"31","DonorB_D_2013","bin_144",5706077,526460,16556,9.22630381608941
"32","DonorB_D_2013","bin_145",2687503,1898936,25126,70.6580048468783
"33","DonorB_D_2013","bin_147",2308024,1378573,18326,59.7295782019598
"34","DonorB_D_2013","bin_149",2485778,2369672,58646,95.3291886886118
"35","DonorB_D_2013","bin_152",1472854,584495,6441,39.6845172705509
"36","DonorB_D_2013","bin_154",1276592,389452,10914,30.5071628210109
"37","DonorB_D_2013","bin_159",1783660,1637891,50927,91.8275343955687
"38","DonorB_D_2013","bin_16",1486388,562045,7632,37.8128052702255
"39","DonorB_D_2013","bin_160",1855298,874246,76102,47.1215944823958
"40","DonorB_D_2013","bin_161",2811698,2576850,36832,91.6474671177345
"41","DonorB_D_2013","bin_165",1951548,1950595,89030,99.9511669710404
"42","DonorB_D_2013","bin_167",1865544,1864389,137674,99.9380877642125
"43","DonorB_D_2013","bin_168",3370120,326628,21761,9.69188040781931
"44","DonorB_D_2013","bin_169",2735254,2580482,81472,94.3415858271298
"45","DonorB_D_2013","bin_17",2269345,2193779,44852,96.6701405030967
"46","DonorB_D_2013","bin_173",1256867,1242905,31977,98.8891426061787
"47","DonorB_D_2013","bin_174",2849112,2849109,2207135,99.9998947040341
"48","DonorB_D_2013","bin_175",1839175,1839175,154382,100
"49","DonorB_D_2013","bin_177",2222035,2190266,137736,98.5702745456305
"50","DonorB_D_2013","bin_178",3112052,3077528,82738,98.8906355035199
"51","DonorB_D_2013","bin_18",2023700,1021298,37209,50.4668676187182
"52","DonorB_D_2013","bin_182",6151194,6151018,516808,99.9971387668801
"53","DonorB_D_2013","bin_185",1785659,1746806,34101,97.8241646361371
"54","DonorB_D_2013","bin_186",2862869,2817362,355634,98.4104407152406
"55","DonorB_D_2013","bin_187",2868302,2866878,165417,99.950353902762
"56","DonorB_D_2013","bin_188",1955483,1939126,59059,99.1635314651163
"57","DonorB_D_2013","bin_19",2891845,291171,21887,10.0686931699313
"58","DonorB_D_2013","bin_194",2966929,2957538,90621,99.6834774273331
"59","DonorB_D_2013","bin_195",2253866,2253866,624416,100
"60","DonorB_D_2013","bin_196",2159449,2144399,70383,99.3030629572636
"61","DonorB_D_2013","bin_197",2682486,138428,16059,5.16043699762086
"62","DonorB_D_2013","bin_198",1167925,118310,6432,10.1299312883961
"63","DonorB_D_2013","bin_199",1005057,1005056,50651,99.9999005031555
"64","DonorB_D_2013","bin_20",2218059,1514735,22361,68.2910148016802
"65","DonorB_D_2013","bin_202",2634691,2634605,295080,99.9967358601066
"66","DonorB_D_2013","bin_203",2766272,1356652,47382,49.0426104157509
"67","DonorB_D_2013","bin_207",1950414,1950342,113502,99.9963084760466
"68","DonorB_D_2013","bin_209",2180716,2167002,83177,99.3711239794636
"69","DonorB_D_2013","bin_210",2017938,2017913,146003,99.9987611115902
"70","DonorB_D_2013","bin_211",1115178,315444,8842,28.2864260234689
"71","DonorB_D_2013","bin_212",2238827,1624241,27217,72.548749858743
"72","DonorB_D_2013","bin_214",2010683,18960,1726,0.942963162268741
"73","DonorB_D_2013","bin_217",1643685,1643563,169428,99.9925776532608
"74","DonorB_D_2013","bin_218",2593465,2577140,88408,99.3705332441348
"75","DonorB_D_2013","bin_219",2123352,2121440,425228,99.9099536958545
"76","DonorB_D_2013","bin_22",2597267,2170707,53598,83.5765826154954
"77","DonorB_D_2013","bin_220",2512872,2368078,51991,94.2379078600104
"78","DonorB_D_2013","bin_222",2871657,52500,4689,1.82821277053631
"79","DonorB_D_2013","bin_224",2444546,1001953,16652,40.9872835283116
"80","DonorB_D_2013","bin_227",2247063,2240705,109696,99.7170528819174
"81","DonorB_D_2013","bin_228",2406317,1442656,31332,59.9528657279984
"82","DonorB_D_2013","bin_229",2793158,2327532,41893,83.329765090267
"83","DonorB_D_2013","bin_23",1992111,1992111,1265053,100
"84","DonorB_D_2013","bin_231",1799857,1799649,146982,99.9884435263468
"85","DonorB_D_2013","bin_232",4683860,3205525,30735,68.4376774711456
"86","DonorB_D_2013","bin_235",2315678,2315660,232823,99.9992226898559
"87","DonorB_D_2013","bin_236",3222887,3173068,112301,98.4542120155004
"88","DonorB_D_2013","bin_237",2813968,2789498,88702,99.1304094431777
"89","DonorB_D_2013","bin_24",2491699,1607645,23059,64.5200323152997
"90","DonorB_D_2013","bin_240",2584588,2584568,2008983,99.9992261822774
"91","DonorB_D_2013","bin_244",1987785,1902268,51011,95.6978747701587
"92","DonorB_D_2013","bin_245",2545417,2224280,78021,87.3837174812614
"93","DonorB_D_2013","bin_248",1411623,1377728,30329,97.5988631525556
"94","DonorB_D_2013","bin_25",1850870,204410,3041,11.0439955264281
"95","DonorB_D_2013","bin_254",2446787,2429984,97730,99.3132626583352
"96","DonorB_D_2013","bin_255",5621187,4374276,48998,77.8176566621961
"97","DonorB_D_2013","bin_257",1577859,1441633,29867,91.3664021943659
"98","DonorB_D_2013","bin_259",2523892,2449845,76098,97.0661581398887
"99","DonorB_D_2013","bin_260",2071793,2067146,76968,99.7757015300274
"100","DonorB_D_2013","bin_262",1035753,378644,4639,36.557364545408
"101","DonorB_D_2013","bin_266",1919176,58568,5057,3.0517263658987
"102","DonorB_D_2013","bin_271",1596841,1585840,58208,99.3110773082605
"103","DonorB_D_2013","bin_273",2073775,1455006,20397,70.162192137527
"104","DonorB_D_2013","bin_274",1466525,827656,11130,56.4365421660047
"105","DonorB_D_2013","bin_276",3032347,3032003,916784,99.9886556518763
"106","DonorB_D_2013","bin_278",5987725,5654337,111898,94.4321424247105
"107","DonorB_D_2013","bin_279",2096806,136686,2057,6.51877188447572
"108","DonorB_D_2013","bin_283",2248113,2179136,53605,96.9317823436811
"109","DonorB_D_2013","bin_284",2051454,378850,8589,18.4673894710776
"110","DonorB_D_2013","bin_286",1764186,1703784,52482,96.5762113518643
"111","DonorB_D_2013","bin_287",2282214,1565097,27638,68.5780124037448
"112","DonorB_D_2013","bin_288",1707881,1685043,71214,98.6627873956089
"113","DonorB_D_2013","bin_295",2174866,2174817,186652,99.9977469876305
"114","DonorB_D_2013","bin_296",2174701,2172539,93914,99.9005840343109
"115","DonorB_D_2013","bin_298",1098661,1096057,36105,99.762984214421
"116","DonorB_D_2013","bin_30",2291135,1793320,27314,78.272122768846
"117","DonorB_D_2013","bin_300",1874665,1789546,57343,95.4595087655661
"118","DonorB_D_2013","bin_301",2973322,1344098,89952,45.2052619931511
"119","DonorB_D_2013","bin_302",2011852,730493,7789,36.3094800213932
"120","DonorB_D_2013","bin_303",2603993,1610924,31486,61.8636071602343
"121","DonorB_D_2013","bin_307",2753009,2750305,206964,99.9017801975947
"122","DonorB_D_2013","bin_310",2830594,2821660,109909,99.6843772013931
"123","DonorB_D_2013","bin_314",1444035,374189,9706,25.9127375721503
"124","DonorB_D_2013","bin_318",1678402,1594021,29383,94.9725393558873
"125","DonorB_D_2013","bin_32",2108243,450255,4611,21.3568834332665
"126","DonorB_D_2013","bin_320",1925987,1908065,664516,99.0694641241088
"127","DonorB_D_2013","bin_322",1633033,53521,12440,3.27739855838798
"128","DonorB_D_2013","bin_323",2844979,2804432,112300,98.574787371014
"129","DonorB_D_2013","bin_326",2600040,1934664,25279,74.4090090921678
"130","DonorB_D_2013","bin_328",3111483,3097731,115856,99.5580242604572
"131","DonorB_D_2013","bin_33",1632270,1618448,61141,99.1532038204464
"132","DonorB_D_2013","bin_331",2426134,2327976,62901,95.9541393838922
"133","DonorB_D_2013","bin_334",3031064,1450594,23409,47.857584003505
"134","DonorB_D_2013","bin_337",2649673,2313919,96229,87.3284741173722
