deltaAUC	iteration
-62.4968164098168	1
-84.4926068315211	2
-30.5028347679061	3
-44.9998950527992	4
-49.992594425751	5
-2.50188564655679	6
-145.000882401071	7
-27.4941008410658	8
-125.490705427331	9
-27.9951302688856	10
-13.4801985508508	11
-82.9942976169157	12
-101.991808248149	13
-67.4956533657264	14
-40.4914934913756	15
-48.9919733673541	16
-34.9894886616952	17
-81.9952408392085	18
-57.9999196724825	19
-42.4951688505371	20
-36.9836992019826	21
-99.9985416365504	22
-55.9979228403014	23
-46.4917248134204	24
-88.4966766457172	25
-37.99418342411	26
-129.493621263306	27
-72.4910065684559	28
-31.0018804524029	29
-100.492456361826	30
-44.4935257852791	31
-29.4863420862251	32
-52.5010970823041	33
-128.493536441698	34
-21.9894324031916	35
-3.49861108548743	36
-73.5115158640051	37
-11.4818268814238	38
-82.5018330519899	39
-51.4918100381294	40
-25.9699999271136	41
-62.4848432835005	42
-67.9899610367426	43
-73.4948715063293	44
-55.0005235524919	45
-39.9922781221288	46
-71.9942294009561	47
-45.9996240791518	48
-125.990220190907	49
-42.4943595836801	50
-37.4788523271376	51
-56.4951402229314	52
-121.500555646372	53
-83.4931172117971	54
-40.0001363628813	55
-36.9878869862467	56
-117.997061306306	57
-52.5118578562999	58
-42.9933113436651	59
-75.9612435212937	60
-42.9978848080752	61
-3.9961717661597	62
-78.9819668943124	63
-49.4966282631125	64
-36.4880195235272	65
-147.487498367546	66
-5.98926925397251	67
-105.994577480185	68
-112.01216642768	69
-33.9742083812266	70
-81.0005499892018	71
-129.502647236351	72
-65.4914586896374	73
-75.9969081138506	74
-88.9760328650605	75
-43.4892486178273	76
-104.988312050461	77
-106.495009153282	78
-68.5001858936093	79
-64.9868807384282	80
-96.5043383128491	81
-48.9824437542127	82
-47.0003862662892	83
-31.0006624970833	84
-75.9958562215997	85
-18.9982580178491	86
-71.4841053337075	87
-65.9842732640082	88
-92.985666726138	89
-94.4955346983353	90
-87.9916582872348	91
-33.9963570412709	92
-62.4967735788121	93
-52.5008946377355	94
-40.993714490077	95
-110.991934036865	96
-154.999085412574	97
-54.48980504236	98
-62.9954611912921	99
-17.5047407975239	100
-81.500455979232	101
-62.9821495349552	102
-88.4885797636455	103
-64.491770898176	104
-55.984895599165	105
-93.5069706019734	106
-45.5001596852065	107
-45.9916492233307	108
-84.9887944460029	109
-46.0040110527655	110
-51.9934027735669	111
-129.484182042922	112
-119.498934527738	113
-32.4874171324605	114
-53.9937343784429	115
-66.988743274207	116
13.003313257717	117
-52.4978993013669	118
-52.996749693142	119
-34.0002870439984	120
-73.4899922759986	121
-39.9875205756498	122
-77.5015272699879	123
-5.99034344254682	124
-75.4936170029148	125
-57.4797079774776	126
-86.9965411358168	127
-72.4968267752706	128
-101.995418631865	129
-26.5072601866387	130
-82.4964089897402	131
-8.49513696805298	132
-47.500115131892	133
-69.4869663469513	134
-97.4936441263472	135
-23.4954522566646	136
-26.0002743364296	137
-63.4859981386496	138
-45.4918873771073	139
-100.000788357103	140
-108.496879093143	141
-86.4934099923312	142
-52.4919068203099	143
-46.4943147754759	144
-36.4810831303535	145
-29.4960896133616	146
-81.4870517401192	147
-24.9817384357505	148
-28.9826210138841	149
-28.4968371091783	150
-13.4835914551564	151
-48.9889333835216	152
-102.500406717383	153
-18.9961138539019	154
-71.000222025169	155
-143.999753124421	156
-22.5041243353846	157
-53.9865031485448	158
-59.9970576816107	159
-14.5012826984372	160
-42.4915277905496	161
-35.4971149619966	162
-33.4926333949256	163
-77.4937334897326	164
-75.4875863144861	165
-83.4983707591669	166
-86.5008325315677	167
-84.4969291587298	168
-5.99579387892629	169
21.0042169556497	170
-103.990786110471	171
-74.0008815185873	172
-75.5006888173363	173
-26.4999573647839	174
-92.5000833125746	175
-94.4978814799468	176
-60.4975365710345	177
-100.500195414091	178
-82.9940417340467	179
-87.990600915663	180
-93.985906469426	181
-103.49300773176	182
-57.4907389293074	183
-47.4917821985827	184
-27.4910463548162	185
-29.490327715828	186
-16.5040059297946	187
-27.9508491478416	188
-31.9832788450965	189
-73.990958456843	190
-38.5015717128059	191
-72.4929660244298	192
-109.490066732577	193
-80.99470449372	194
-48.5016568379717	195
-105.9869673085	196
-49.4973662573675	197
-30.990282426892	198
-71.5018341342873	199
-35.5001133484462	200
-31.4911046609752	201
-105.99411944332	202
-79.4963301825258	203
-62.0008037630158	204
-38.5040945388917	205
-54.000618041447	206
-58.4999131590111	207
-38.0004831715645	208
-64.9956529370564	209
