deltaAUC	iteration
-56.5024282025994	1
-70.4999922932519	2
-95.5013281166333	3
-58.0005710392597	4
-37.5022569965868	5
-70.5015585099518	6
-89.5004788258175	7
-80.0031327580951	8
-50.4969779761686	9
-71.5030130721319	10
-100.501664565228	11
-73.5069132176318	12
-45.0004639567601	13
-66.9985160534265	14
-44.503367327593	15
-81.9994767919354	16
-55.0015249562244	17
-53.0029690738097	18
-78.0055541917891	19
-53.5009113694987	20
-73.500136124258	21
-67.0038087685954	22
-72.0061000642166	23
-71.5021280998284	24
-51.0024390007269	25
-69.0013223265124	26
-37.0034063151289	27
-53.5035102188584	28
-79.0005798735658	29
-91.5029949941203	30
-68.4993183510516	31
-74.0010435205255	32
-59.4982386519425	33
-69.000850083316	34
-23.0030739546194	35
-46.0006710208833	36
-52.0019902545096	37
-104.000887944583	38
-53.5001965692065	39
-50.4996318615122	40
-53.0005617009041	41
-65.0020854478589	42
-66.5001629657415	43
-48.5035797631439	44
-76.9988100240846	45
-111.499866471634	46
-102.496927264208	47
-62.0044954481081	48
-82.5035381128537	49
-38.0017281061577	50
-49.0026412764816	51
-69.0008877294405	52
-61.5009787203672	53
-99.4996382898923	54
-62.5023579167481	55
-86.0036553609501	56
-70.5028154744428	57
-78.9975689710224	58
-56.0028271594146	59
-39.9961376506099	60
-54.5008001491999	61
-80.5032655241645	62
-67.5013502316838	63
-64.996999173434	64
-56.0029443327859	65
-57.501300515022	66
-68.0003112127096	67
-52.0049247308833	68
-68.9982884541459	69
-73.0030758164787	70
-58.9990801702079	71
-69.4988511483903	72
-74.0026931324014	73
-92.4989474172959	74
-58.0051542069746	75
-75.5048873795557	76
-46.0015635587567	77
-45.5037199382062	78
-27.0016570366615	79
-62.9996590384733	80
-71.0155689592797	81
-93.4996017783605	82
-72.5021841102273	83
-49.5027304102941	84
-75.4996855657636	85
-66.4993288167881	86
-60.9994167368991	87
-62.503724962056	88
-43.4978419851028	89
-43.0003283324677	90
-34.4729469880761	91
-63.5033939163604	92
-78.0045780616836	93
-40.9987476831634	94
-47.4992974648487	95
-12.4989513334771	96
-67.0032902082301	97
-69.4980064339197	98
-82.5009610504882	99
-41.5011510652814	100
-52.4975264441003	101
-55.0025170798507	102
-50.5030216294822	103
-77.4973722319506	104
-66.9971665378053	105
-33.9989651708886	106
-45.4988729449972	107
-40.9979053878159	108
-58.4982578880553	109
-77.4987050952514	110
-56.5017259230528	111
-52.4990930795219	112
-64.0015750797264	113
-78.9977111404992	114
-56.4996668384579	115
-50.9998017213789	116
-64.0029145029151	117
-54.5011576011414	118
-79.0051992605472	119
