deltaAUC	iteration
56828.573274229	1
-53950.2755088327	2
49921.3621815591	3
-88824.1283862436	4
-89037.1996171088	5
-21717.6363769888	6
52955.5050041845	7
-13350.2275014501	8
1105.47324055768	9
-59157.5514970185	10
-106576.57425062	11
95398.9601515508	12
65297.5547500003	13
70626.2637339747	14
-57489.5298367378	15
-15729.1039178029	16
13965.7175197983	17
25600.1038224763	18
-64312.6906415884	19
-9656.42670022359	20
71984.655830263	21
-14225.837127316	22
-65868.0223644739	23
17723.8782306075	24
19238.6766541086	25
-137976.601942901	26
-48540.4359047173	27
-18565.7524301003	28
30624.6200750569	29
-46177.7722439669	30
124084.863194993	31
11448.9198643074	32
-61782.0814302125	33
-54615.7533400891	34
-148578.337943429	35
47198.508152702	36
-12329.8484036906	37
86522.5098937377	38
1002.69399417698	39
41415.1424615055	40
-133657.418238145	41
44153.490606956	42
21221.607744619	43
-31827.0500318899	44
2271.61152294785	45
23384.5138003637	46
39808.782139759	47
-104862.290929747	48
1172.86270209192	49
84662.5496848753	50
-54112.8410069159	51
-12390.712459721	52
15248.4171816868	53
112441.821265388	54
70009.9140213969	55
25942.5287184315	56
120753.324309165	57
39052.5196190325	58
-829.26820279262	59
123049.075380886	60
-62612.5001327254	61
-39423.9769373577	62
32975.3873431662	63
-7662.92155044182	64
-32276.8975209838	65
11007.1366229508	66
-6506.52968683309	67
10724.7789760302	68
-14894.0729937403	69
-73936.4947205096	70
16227.0184706175	71
675.85736403364	72
73929.5955540398	73
-109514.263477304	74
-39369.8065438659	75
-87507.6943707379	76
39336.4915265602	77
20994.6460873939	78
79028.8682517169	79
-2692.20420599316	80
16782.0401674206	81
92378.9377300981	82
93645.8355155479	83
-14353.0341738113	84
-107918.344822795	85
-39870.8800876059	86
-34421.2928972196	87
-6026.45684459095	88
60105.6501077174	89
-116270.72864676	90
-52798.5286627818	91
121329.521101381	92
21762.3267702583	93
-79623.3555511402	94
22690.3858689325	95
-50472.9948044742	96
129160.425974354	97
21878.0257642923	98
-113320.36169516	99
12601.1171676964	100
55724.0913357181	101
87940.5949409632	102
-9778.90120438929	103
-31563.1031335255	104
-81119.6392464706	105
75468.8566702236	106
19233.4491717042	107
-156904.448942099	108
-157892.279490387	109
52100.9222393047	110
-14329.9801273158	111
41428.6618272687	112
-74350.9817649929	113
-24405.7799455504	114
29174.0152002157	115
-38413.91676131	116
49371.1730792722	117
87478.2146023848	118
124861.325186943	119
-37771.7720176548	120
-12344.5009665482	121
-73855.3490846966	122
-33660.4769330876	123
6183.0939689221	124
-29444.9735067242	125
-18360.9484890335	126
74909.5128699996	127
56853.0055826491	128
5776.18735810946	129
11136.5140129087	130
35331.0419905415	131
26327.0535734738	132
77415.3885349401	133
-58475.4125548858	134
-9465.51535589731	135
91711.2665019321	136
10026.0362947661	137
-38379.5187340954	138
48715.9125045272	139
-79683.2697595908	140
19711.0180503697	141
61013.8447016189	142
64474.3548370526	143
-141019.404202325	144
41233.730839451	145
108938.726989169	146
47723.4338171372	147
103865.38814675	148
-133021.665470613	149
11319.284578989	150
35150.555513171	151
-29944.8137661844	152
23777.5352692983	153
28546.568166255	154
34534.9025580283	155
50342.1052099994	156
-28598.9958917652	157
104959.347586083	158
-17401.7507726535	159
-68393.5838958589	160
24735.0541526537	161
-119022.060066779	162
46539.5802981542	163
-105730.367789382	164
-101179.028201487	165
-66160.8019390947	166
-54969.1035366546	167
-96023.5886396457	168
-92576.4372249542	169
799.392496855755	170
113126.61709637	171
-15648.8995527177	172
47070.6549440372	173
22552.1130169855	174
-60118.8519356418	175
-102918.655465611	176
-3783.73873817379	177
6444.12622013647	178
-55716.0526780317	179
-4392.45966530492	180
73084.7408441188	181
95329.4294569517	182
17701.6625930517	183
-9698.6672464172	184
-47448.9574691759	185
-28014.9852413489	186
161793.030636248	187
-23155.1240100046	188
48859.0321510937	189
52345.8232321086	190
86892.9835305467	191
-100850.752540268	192
-21542.0264666494	193
-70901.0953306925	194
24241.0064140602	195
-106727.418400398	196
-18044.5071756581	197
15031.4825497561	198
111971.994634771	199
-179538.415879951	200
64867.1168139741	201
37061.452225511	202
60439.5226093953	203
129695.637586913	204
12572.8378737938	205
-11155.3620981923	206
-49997.3796815033	207
-54659.7472394225	208
9104.69565389975	209
13491.8589277954	210
-53554.924415922	211
-134164.48717551	212
-18246.9704107579	213
-83281.1590058248	214
-18699.4760933768	215
20582.317892434	216
40077.7406898481	217
-69226.3841709243	218
-65285.8080410461	219
157727.228716473	220
-42188.6932692444	221
26031.4221503986	222
121184.012160681	223
34362.5953286456	224
50539.5130665963	225
-63853.2355216674	226
-73477.503817891	227
-112234.191366085	228
19925.9030635962	229
-81025.2245281966	230
54940.2082691959	231
101440.524500916	232
22835.7512892804	233
-39126.9346460033	234
-12518.2996199728	235
-57116.2580616198	236
48650.6832336923	237
-113479.304765872	238
5854.28296169359	239
-121047.106009937	240
-143410.917956103	241
-68141.8397073555	242
-90721.6077828567	243
-119579.912818287	244
-71094.7165498152	245
34451.1600058909	246
84514.2924661264	247
36903.8737894568	248
18999.4837119912	249
107889.639054761	250
-46257.0219929461	251
-11873.2567418785	252
74619.1823292161	253
-2081.79035978601	254
49332.9204478457	255
-52837.6976600222	256
-44900.4987907969	257
-65181.377887143	258
-46959.8555100335	259
56672.9213365196	260
-65771.3266221105	261
-53251.1204050836	262
-137792.771633938	263
-132303.277854778	264
35637.5654086421	265
-14526.64298387	266
72455.2781452439	267
-34596.3673285436	268
60871.7249396602	269
9455.85996194347	270
107190.686068209	271
-76910.863939325	272
6880.3807557867	273
4466.58733165922	274
6753.99204628152	275
139584.274759255	276
-62306.4241146524	277
-23528.751707504	278
-959.496518620697	279
-85332.5532470168	280
-67634.3378123878	281
-66843.9775136113	282
-40849.4720905331	283
85801.5350608834	284
-98058.9903509046	285
73072.680713234	286
21287.2601839351	287
85110.0450907112	288
76269.8311897109	289
-79948.159718968	290
28712.0141180123	291
117487.219678969	292
-31530.0403901346	293
-88105.0448157319	294
89598.3783292867	295
-39299.3005726296	296
12669.2860677917	297
-3314.95830308774	298
81520.7124647582	299
-3259.41049106006	300
-3948.02127422043	301
-32134.7049779652	302
34491.0098108143	303
40929.9631965618	304
-103341.709584831	305
43904.9356315602	306
-54940.6784177317	307
-128428.89164157	308
131813.480561322	309
-116490.721254052	310
24983.2992945871	311
47239.8499339976	312
67909.9574398586	313
31865.5662118629	314
69391.7022843007	315
-9822.67524651234	316
92383.8158366003	317
-78096.5108962504	318
22157.0193698224	319
-120099.219368851	320
57398.8152604593	321
-77715.4846684706	322
151030.976887017	323
32175.6913467866	324
57927.7391732649	325
-17849.0462800175	326
21922.7886756944	327
-9876.67279486725	328
25330.6990073154	329
48168.0122365822	330
-32776.8287822901	331
-62805.4725082731	332
-5134.80285365222	333
-24497.3021199691	334
56802.1020405515	335
50315.8323484639	336
16907.860789648	337
130501.954518178	338
19759.8332782706	339
-55303.3241151465	340
33862.0369748274	341
-55636.3372574062	342
-82688.7452750147	343
52970.0797883287	344
11082.7311485243	345
-34449.1936613154	346
58462.175681175	347
39142.506552817	348
120875.92234389	349
-26560.3046616277	350
-94446.047900775	351
3142.85128000443	352
-9079.27839941255	353
9541.48616221815	354
112937.783408333	355
-92517.7084837827	356
10427.6868475726	357
9502.56922551896	358
-7411.38670731412	359
-70085.230128396	360
18410.1556055214	361
59716.0600416813	362
9756.64094918111	363
-103622.156621182	364
8876.22868485504	365
70597.3569120468	366
15470.7461696957	367
19723.5182886068	368
4002.62561759149	369
18494.0078531456	370
-12802.9591038042	371
76915.0535425352	372
79777.5069608021	373
17190.3109751067	374
-70397.6140283421	375
759.575688512879	376
13748.800226528	377
-39168.3665512637	378
57664.7909552402	379
49167.5132532921	380
123732.901006612	381
47921.497390979	382
37617.3078825054	383
-30676.6687903896	384
40491.8518728448	385
-74240.1075267667	386
42809.6513664129	387
-3491.80754416267	388
-19714.8880448756	389
-2023.45343552844	390
-114122.419777093	391
-50987.4551969552	392
24645.0739060198	393
42566.6416039407	394
-127397.493102638	395
-124377.970917243	396
105674.391825511	397
-7940.45187568333	398
-40332.0988489565	399
7037.86794494448	400
102213.613565324	401
34738.9372269034	402
94582.5869953152	403
21544.4726374841	404
-1588.61461472587	405
-60681.8794620739	406
-127625.611189625	407
98950.1585408124	408
-26669.8265201497	409
-113260.69900131	410
134032.241655561	411
-56927.1973666016	412
-44620.5444477847	413
-118741.313345714	414
56589.4572189696	415
107397.249777778	416
89874.8861661586	417
208527.932362788	418
61192.5496800494	419
-83331.1068031262	420
-105899.430394845	421
48836.2573967278	422
-22435.4746290071	423
21672.3960756321	424
-48412.8823324122	425
51027.686514707	426
115806.751791268	427
22078.9605453341	428
62807.0622668499	429
-45991.7928635014	430
57819.9899821669	431
-59183.8697857198	432
24688.8400156032	433
-44475.6043326945	434
-55875.0447685581	435
71402.7338577137	436
-38896.024539913	437
43909.3536892681	438
42987.2618207622	439
-24916.8522246404	440
-54949.633576581	441
-44760.0183857332	442
53286.3671508695	443
-59391.564858136	444
-121881.293407355	445
71249.3964498976	446
-51489.2664186849	447
54231.6186161446	448
102505.234153028	449
17650.7490438554	450
50682.9645887589	451
48734.2327315722	452
61030.8268372177	453
-18373.5068677635	454
-111065.428178132	455
-90471.2010895038	456
-86793.7446368586	457
8028.55737691396	458
-9416.31422487216	459
11397.293138485	460
-98073.5969474782	461
158530.083221769	462
-7089.4405929253	463
56988.1703551911	464
-96358.8945711531	465
61888.0033685628	466
-24467.1701355398	467
-39080.6853008238	468
-97320.1360081152	469
-9709.75839862181	470
-31172.8513653498	471
2079.4899086589	472
-53900.3639822861	473
59031.5325447679	474
-4789.24156234576	475
42858.5956198741	476
33090.1779317673	477
-5587.5416344211	478
44182.900676737	479
34025.1803888722	480
-36425.6888761602	481
-53359.7983044185	482
-57141.2322527441	483
96746.471039858	484
36545.3097366185	485
-57026.9916339571	486
-17244.6364804256	487
-90952.9314357062	488
-96319.2879755334	489
-26720.7641643403	490
86668.5081931702	491
145246.313668013	492
-12204.6067576744	493
-91840.4727119545	494
25888.950362211	495
107141.530552384	496
-117421.664808408	497
-9231.9500267182	498
560.653861554922	499
-16168.2034280954	500
33189.297677323	501
-57081.3320269418	502
50694.03256696	503
-96248.7438232416	504
-79255.4928930829	505
34115.0094723834	506
91119.5118418441	507
-124937.039624275	508
-346.112929719733	509
-49458.1680628697	510
95638.3678329051	511
29274.6310821082	512
-41442.3577689146	513
-3720.01008854312	514
-68606.8136744641	515
7458.30947561696	516
-38449.955621962	517
95740.2427009644	518
-49156.6124728689	519
62773.5866151506	520
15689.2921678752	521
-38342.1030225598	522
35521.1731237533	523
-19208.5951725805	524
-149297.80800206	525
-93671.4173933681	526
88937.9124485823	527
-15576.6134676658	528
-8662.94037592321	529
-87446.9982808629	530
-36964.625313241	531
-29500.7814532527	532
198519.620256814	533
-101058.666055778	534
-50658.1287582292	535
-54065.8328454722	536
-151805.707674631	537
68871.4054720786	538
44695.9968439959	539
-115854.33727413	540
-33542.9086606286	541
69780.7696774812	542
-8844.42659024394	543
5336.19535663311	544
-77462.1859442573	545
-13388.2481863315	546
-78142.1420596486	547
8298.285403986	548
-89668.4424974259	549
17833.5913854484	550
-3360.82931442998	551
32953.9478798361	552
-40383.4020100393	553
29390.5522441597	554
-89123.4838275122	555
111562.135460638	556
-89749.9753929515	557
66265.2068544172	558
37534.4253732924	559
1320.37463544286	560
-42843.4001421899	561
9905.64569795213	562
-29286.735095639	563
-175570.935826519	564
120451.780097208	565
39033.0489518327	566
-36796.0007076307	567
74380.9801143969	568
-22483.4813447018	569
-9212.56726209895	570
12280.0704958913	571
91079.2846233847	572
-70506.4896212748	573
-99987.920810394	574
-18201.8373456937	575
-141361.59598722	576
7803.59761273206	577
175860.858353701	578
-16237.8396214619	579
-92803.8933762034	580
-62478.5498591994	581
63792.8742336405	582
-128528.20570745	583
8790.53975500941	584
93605.7511225968	585
152117.055465487	586
-130443.704987454	587
-18374.4078871736	588
-46466.4698819343	589
13238.4728487357	590
-112812.549610282	591
37131.7438213605	592
-14429.5587112125	593
-99159.0628051866	594
-51914.3329462267	595
34271.523687915	596
