deltaAUC	iteration
46744.1427891349	1
-6948.05430337787	2
31805.5361851259	3
40743.6435713017	4
-34247.9764082191	5
29101.8979972546	6
18192.0493475397	7
2139.50743418903	8
-16573.4077768906	9
41545.730085379	10
-7500.2521095213	11
47773.6606651391	12
-24364.7028039001	13
13580.3910980856	14
18120.1765129776	15
23793.538900107	16
18328.156370982	17
-54589.494754368	18
-49665.5240244779	19
2139.50743418903	20
36450.0749034444	21
62.0427776076249	22
2331.48002957337	23
17626.4983557918	24
2961.52243145643	25
8735.20986278972	26
-36560.0703686689	27
-45131.4370720484	28
28717.926186081	29
-7762.06260335352	30
36330.2478817543	31
-5745.91693687387	32
14196.3903372005	33
-43117.2239609465	34
-46744.1427891349	35
53827.892461756	36
-43117.2239609465	37
8524.58081042842	38
33229.0166952448	39
29346.4956949201	40
-2139.50743418903	41
-24566.4690789798	42
-32375.3417568692	43
-9401.31088389165	44
-39378.3815793728	45
-41128.5459827951	46
26755.4175364684	47
-15632.2047178452	48
-27354.9024294813	49
-30453.9414200134	50
-26558.0141390478	51
-39112.3183905287	52
1425.52225743281	53
-52100.0063824079	54
-51458.1128804267	55
39233.0225856627	56
8821.46795319737	57
-46630.9406421191	58
-13626.2173996526	59
2925.80595912144	60
-43753.4316003975	61
-41372.5420991901	62
-12189.5160968367	63
9401.31088389165	64
-41128.5459827951	65
-24364.7028039001	66
15272.6600900453	67
39443.9020687036	68
-13506.5128107918	69
-32687.9487732525	70
32687.9487732525	71
-27926.4051485386	72
-84058.54496808	73
-22206.6393593799	74
-8820.79918854736	75
69914.4294290764	76
-18541.5919035836	77
26047.6648129946	78
43932.7539414647	79
42605.3107753841	80
42559.184947337	81
60765.9361876402	82
-84740.1688601415	83
-46630.9406421191	84
48851.5681647406	85
18629.0370105543	86
-26755.4175364684	87
-53710.1869248048	88
-13465.1694485024	89
-58320.1319602069	90
-13551.8668729542	91
56534.0972837603	92
3066.1668272448	93
3431.8438010118	94
51351.9782457544	95
-17758.6094991998	96
-49858.3924285347	97
-34392.5337257592	98
-46521.2754519314	99
-28163.7950375766	100
45853.4916289115	101
6165.06000881304	102
-2961.52243145643	103
38286.2462939829	104
-82041.5401953432	105
-6366.54544320301	106
68066.9788927256	107
65512.0654345783	108
-65294.0405943815	109
-8524.58081042842	110
43932.7539414647	111
11818.1805347643	112
-11869.5781277376	113
-14463.2283022383	114
-33568.8403176316	115
15235.5993107555	116
-27339.1415868165	117
-45895.8052026707	118
-36894.4017232708	119
-4824.74850741029	120
-10458.9974489862	121
26526.9182668403	122
27354.9024294813	123
-16393.3438423548	124
-8556.86448935443	125
20466.6351888143	126
2311.41506947041	127
2500.56200661988	128
16971.3141923774	129
-10458.9974489862	130
53710.1869248048	131
4871.99846357113	132
15272.6600900453	133
27638.5072731742	134
51017.4321867255	135
65512.0654345783	136
43818.5854687875	137
-7229.67417892971	138
74210.0354935901	139
-5600.84440551384	140
9284.96765535593	141
-13626.2173996526	142
31113.3550706072	143
43117.2239609465	144
-16397.2541870853	145
-30141.9285681922	146
11869.5781277376	147
-63389.886272765	148
-1478.41146239202	149
23956.3617674089	150
-49665.5240244779	151
20423.5704950485	152
39060.8288859616	153
-15272.6600900453	154
-2454.72910300252	155
-34247.9764082191	156
-9084.54876550345	157
-71779.8201575208	158
3211.24589567003	159
-24958.3316384593	160
-29309.1219228181	161
-42605.3107753841	162
-40722.5206276142	163
46518.9926822496	164
24691.6372062693	165
63621.2408629963	166
2111.86165570747	167
-4091.09411325754	168
-28163.7950375766	169
40722.5206276142	170
-32063.7543808575	171
22799.9680893605	172
81556.5405429761	173
9284.96765535593	174
-8544.91308076016	175
-24441.823579879	176
49936.2797351422	177
-46630.9406421191	178
5654.86031644628	179
55525.7220611647	180
28717.926186081	181
-39480.1324673727	182
-34247.9764082191	183
36271.045744451	184
9284.96765535593	185
56534.0972837603	186
13626.2173996526	187
23603.6571629747	188
63621.2408629963	189
-51486.0961795928	190
2311.41506947041	191
-33352.0294814917	192
22895.9047234947	193
18248.9999689274	194
32375.3417568692	195
-2311.41506947041	196
43117.2239609465	197
22359.5602716212	198
-33568.8403176316	199
-12829.8305911649	200
27251.9418089374	201
71779.8201575208	202
61436.3834478553	203
31306.8504927989	204
27913.9985456756	205
-33352.0294814917	206
-24861.9354661679	207
-29101.8979972546	208
-24691.6372062693	209
18248.9999689274	210
31604.5149825829	211
-34442.0289386691	212
7229.67417892971	213
49665.5240244779	214
16815.7687388993	215
-49160.5355756661	216
41417.30001684	217
15186.2835718364	218
6366.54544320301	219
-56534.0972837603	220
37241.5498040303	221
34392.5337257592	222
4545.56271225342	223
56046.4771843123	224
-1885.06478533254	225
-49936.2797351422	226
-26182.1508835624	227
-62022.9973945185	228
16971.3141923774	229
-58214.5990136904	230
61657.1248620062	231
-44087.0504382302	232
33568.8403176316	233
7840.12267417519	234
8832.51273913938	235
-2111.86165570747	236
15186.2835718364	237
2961.52243145643	238
29985.4123298717	239
15272.6600900453	240
-62022.9973945185	241
46521.2754519314	242
33478.6926882281	243
31884.3907631582	244
8989.60274387139	245
33568.8403176316	246
39060.8288859616	247
-28511.0530439127	248
-43671.8048114351	249
-53827.892461756	250
-37944.562982303	251
2500.56200661988	252
-11680.4216308146	253
14043.5837346921	254
45977.1996423514	255
11222.8447528539	256
57275.8649515887	257
36271.045744451	258
16419.9393501075	259
20989.5060956854	260
21979.4943487831	261
-43753.4316003975	262
-44702.930021919	263
-22096.6354359298	264
26562.0141387481	265
27638.5072731742	266
21428.4959745227	267
43671.8048114351	268
58563.1161440187	269
-38739.9674028362	270
21803.5148758281	271
84740.1688601415	272
-33140.4718849956	273
-24958.3316384593	274
-40722.5206276142	275
63464.7158827581	276
4091.09411325754	277
13626.2173996526	278
28838.8715823262	279
9618.32437622227	280
-15632.2047178452	281
-21171.2297230483	282
-32204.3613521776	283
23742.52179219	284
16436.2189420647	285
-63621.2408629963	286
35480.464468456	287
-15976.3918057563	288
-29101.8979972546	289
-10553.1087426515	290
-55525.7220611647	291
-19363.0463949422	292
-51486.0961795928	293
18541.5919035836	294
-28646.7310335947	295
36271.045744451	296
27339.1415868165	297
-39060.8288859616	298
38848.7875263669	299
51486.0961795928	300
-36330.2478817543	301
-35460.2900319012	302
12341.3790784384	303
29693.4222195419	304
-43932.7539414647	305
-39233.0225856627	306
-10399.1169127448	307
-45131.4370720484	308
-2711.46018767438	309
-22799.9680893605	310
30453.9414200134	311
-15235.5993107555	312
52100.0063824079	313
42559.184947337	314
-4819.7273825148	315
-45131.4370720484	316
-12518.9907738242	317
-2925.80595912144	318
4545.56271225342	319
-21681.2597032894	320
61285.9359984791	321
34349.0644442714	322
-52100.0063824079	323
29346.4956949201	324
-66017.9786297097	325
-58214.5990136904	326
-31008.8135638979	327
36271.045744451	328
13626.2173996526	329
67130.5474177295	330
28838.8715823262	331
14043.5837346921	332
-42566.8576112109	333
43003.604203285	334
6366.54544320301	335
40264.5603059796	336
-24863.5652156025	337
-23793.538900107	338
22799.9680893605	339
49160.5355756661	340
-16849.4865698532	341
-19838.2441486988	342
40743.6435713017	343
-39480.1324673727	344
7229.67417892971	345
9420.01814738062	346
71779.8201575208	347
19712.4324535972	348
29346.4956949201	349
33478.6926882281	350
-4871.99846357113	351
32204.3613521776	352
-10014.0087197907	353
2096.67570884409	354
-40722.5206276142	355
14693.5498000503	356
-51351.9782457544	357
30124.8183969583	358
23742.52179219	359
-35460.2900319012	360
-20918.6980739824	361
-63154.4738857062	362
5009.46850325022	363
34465.4021406457	364
-56491.8857611782	365
30141.9285681922	366
25210.9571181481	367
46521.2754519314	368
39378.3815793728	369
18200.9187498606	370
31120.5412834369	371
719.091325679037	372
-19712.4324535972	373
45895.8052026707	374
-16436.2189420647	375
49858.3924285347	376
-61436.3834478553	377
43631.0523701211	378
20918.6980739824	379
-28838.8715823262	380
-36837.5445625724	381
23338.8806458138	382
-2139.50743418903	383
2111.86165570747	384
-37580.6308012936	385
-39060.8288859616	386
6241.6583479626	387
-23742.52179219	388
-39480.1324673727	389
3431.12596817227	390
-4951.99569438992	391
16304.8608589062	392
-79504.0336042439	393
42559.184947337	394
-49665.5240244779	395
13259.9785434111	396
-25100.9214335766	397
-55133.9240973002	398
-3816.32070843858	399
6362.82408673863	400
59402.5907583736	401
-27354.9024294813	402
38590.6684187157	403
-4871.99846357113	404
24364.7028039001	405
79504.0336042439	406
-21803.5148758281	407
-15988.1267601951	408
36450.0749034444	409
-8266.89796729729	410
-16304.8608589062	411
-3431.12596817227	412
-70791.5912348307	413
48292.0359497582	414
6355.32535296155	415
-39112.3183905287	416
7613.71824199869	417
-23447.4464332914	418
-2500.56200661988	419
-73699.674818374	420
-20466.6351888143	421
-65294.0405943815	422
7762.06260335352	423
4431.8968881254	424
13551.8668729542	425
-2111.86165570747	426
-21428.4959745227	427
9077.89964200382	428
-31884.3907631582	429
3816.32070843858	430
7229.67417892971	431
34442.0289386691	432
23040.9762564412	433
23956.3617674089	434
-17327.3376719858	435
-63154.4738857062	436
63464.7158827581	437
48292.0359497582	438
16419.9393501075	439
77173.9771113215	440
-1067.5582343	441
-37662.2918149121	442
56046.4771843123	443
-40722.5206276142	444
15272.6600900453	445
-44702.930021919	446
-5009.46850325022	447
-21826.2341735729	448
33367.6611906924	449
55133.9240973002	450
-39443.9020687036	451
-21057.264873366	452
-43671.8048114351	453
-38590.6684187157	454
-8461.25092959782	455
71544.6360409632	456
19363.0463949422	457
-13259.9785434111	458
-23603.6571629747	459
13259.9785434111	460
-33140.4718849956	461
-16419.9393501075	462
66017.9786297097	463
-10188.1675443063	464
-36330.2478817543	465
18248.9999689274	466
-18826.3265225895	467
10399.1169127448	468
-23603.6571629747	469
-23447.4464332914	470
13357.0594384318	471
3316.11292057234	472
43117.2239609465	473
-18200.9187498606	474
-29693.4222195419	475
6743.90690945688	476
-10188.1675443063	477
-13983.9238438602	478
-32687.9487732525	479
-23742.52179219	480
35480.464468456	481
74210.0354935901	482
