deltaAUC	iteration
1.5	1
2	2
-15	3
-14.5	4
-16.9999834584477	5
-0.999992459840399	6
-7.00008630496541	7
4	8
24	9
8.99990302159779	10
1	11
-20.5	12
1.4998621076198	13
32	14
-4.50002898370894	15
-10	16
-15.5	17
-15	18
15.5	19
28.5000804969482	20
-11	21
-21.5	22
-13	23
8	24
23	25
10.9999676758301	26
-22	27
-20	28
-15.0000148795752	29
3.49999999999999	30
22	31
-5	32
20	33
21	34
5	35
5	36
-2.99998946871217	37
-2.49998162605573	38
-8.5	39
-3.5	40
17.5	41
2	42
-8	43
-2.49998162605573	44
14.5	45
-19.5	46
-12.5	47
21.5	48
-4.49981424300657	49
8.5	50
4.5	51
7.49988153286641	52
14.5	53
-0.999759122336371	54
14.5000111836685	55
1.5	56
-0.5	57
-8.5	58
6.4999756727467	59
12.5	60
15.5	61
-3.49999999999999	62
-3.5	63
-17	64
-15.5	65
-23	66
-6.50001302050131	67
1.5	68
-5.5	69
31.5	70
5.99999742700643	71
-15	72
-18.5	73
-15.5	74
1.4210854715202e-14	75
23.9999826924162	76
-1	77
15.0000148795752	78
-10	79
2	80
-23	81
23.9999771592673	82
-5.5	83
15.4999965148256	84
-23.5	85
1.5	86
-22.0000017005146	87
-16	88
-13	89
8.5	90
-34.4998729449031	91
2.50000071657885	92
15.0000148795752	93
-7	94
13.4999945282072	95
-4	96
-18.5000125279461	97
19.4999975046911	98
-6.49999780512296	99
17.4999435088018	100
-21	101
6.99998112767999	102
-23.5000833100451	103
3.5	104
15.5	105
4	106
20.0001163182626	107
-5.99999999999999	108
-8	109
14.5	110
-25.5	111
-2.99998032854114	112
-15	113
-15	114
-1.5	115
6	116
7.5	117
-4.00000000000001	118
0.500034974253694	119
-27.5	120
5.50007496908215	121
14	122
23.5000833100451	123
-8.5	124
22.9999751699735	125
-7.49999171577147	126
-1	127
20.5	128
9.99998778895221	129
-14	130
-16.5	131
21.0000111940962	132
-7.5	133
8.50009389678706	134
-14	135
1	136
7.99999274957071	137
25.5	138
-4.5	139
21	140
11	141
5.5	142
8.5	143
15.5	144
-6.50002432426086	145
11	146
-28	147
5.5	148
-19.5	149
8.00006590863862	150
-9	151
-22.0000017005146	152
0.5	153
-8	154
-1.0000124332789	155
-7	156
11.5	157
11	158
-8	159
-10.5	160
-4.49998872707216	161
-2	162
-16	163
0.5	164
-19.5	165
-7	166
14.5	167
-8.5	168
-16	169
-15	170
23.999984771213	171
-29.4999077569007	172
-0.999759122336371	173
0.999992459840399	174
10	175
-4	176
-9.00000000000001	177
-8.00000373664314	178
-17.5	179
16	180
-0.500088171265887	181
-21.5	182
9.49998751728731	183
-27	184
-17.5	185
0	186
-6.99986125996651	187
-7	188
-16.9998714976321	189
-0.5	190
-18	191
-3.49999999999999	192
-15.5	193
26.5	194
15	195
17.5	196
-5.50007496908215	197
-7.00008630496541	198
14	199
10.0001273387194	200
4	201
4.5	202
5	203
24.5	204
-8.5	205
16.504138136927	206
-18.5	207
27.5	208
22	209
7	210
-4	211
2	212
-5	213
26.5	214
0.5	215
4.50000000000001	216
15.0000148795752	217
10.5	218
-8.5	219
16.5	220
4.00000000000001	221
-11.9998479908593	222
-10.5	223
2.49998162605573	224
-11	225
-7	226
1	227
-4.50000000000001	228
-14.9999660298598	229
27.4999978586954	230
-13.5	231
14	232
-11	233
-8.5	234
8.99990302159779	235
-10.5	236
-20	237
-30	238
-15.9999782102546	239
-7	240
17	241
-13.5	242
16	243
-14	244
1.5	245
23.9999826924162	246
0.5	247
2.00003010768586	248
7.49999171577147	249
-22.9999751699735	250
15.4999965148256	251
14	252
-18.5	253
1.5	254
-9	255
14	256
-7.5	257
-31.5	258
-15	259
-26.4999834205847	260
6.4999756727467	261
-13.5	262
4.5	263
12.5	264
-2.00000088964151	265
-2.99999360221153	266
-15	267
7.49988153286641	268
2.00000245660482	269
-31.5	270
-11	271
-14	272
-11	273
-10.9999676758301	274
-15.5	275
6.99998112767999	276
-1.4998621076198	277
24	278
-5	279
3.99997869464876	280
29	281
11	282
3.99998274163772	283
-6.5	284
-19.5	285
19	286
-9.00000000000001	287
15.5	288
-12.5	289
-0.5	290
7.49999171577147	291
-8	292
-3.99993442491017	293
-11	294
-7.99998342875239	295
6.99999699960253	296
17.5	297
-3.50000637832521	298
-9.5	299
-15.4999965148256	300
26	301
-18	302
-15.4999965148256	303
-17.4999839431965	304
-1.5	305
-13.5	306
10.5	307
3.5	308
5	309
-3.00015987144823	310
8.50000000000003	311
16	312
-27.5	313
29.5	314
21.5	315
8.5	316
-10.4999834274699	317
27.5000442049416	318
-2.99999360221153	319
-13.5	320
0.5	321
-3.49999999999999	322
2	323
-23.0000329543193	324
15.5	325
-10.5	326
-6.99999699960253	327
-7.49988153286641	328
-5.5	329
-20.0001163182626	330
13	331
-2	332
4.5	333
-5	334
9.00001147051429	335
15.0000148795752	336
-15.5	337
-14.5	338
-4.5	339
-30	340
11.9999991020648	341
-0.999759122336371	342
10	343
1.5	344
-10.500096669991	345
-21.5	346
2	347
-2.50000000000003	348
3.5	349
-12.5	350
-0.5	351
-13	352
15	353
-16.504138136927	354
-6	355
0.999938837546395	356
18.5	357
12	358
-6.99986125996651	359
-11	360
5	361
8.5	362
-8.5	363
-19	364
15.5	365
-24.5	366
1.5	367
-23.5	368
1.5	369
10.500096669991	370
5.5	371
0.500034974253694	372
26.5000191330976	373
-8.5	374
6.49999999999999	375
-19	376
26.0000634541683	377
-20	378
-15.5	379
-3.5	380
-24.5	381
2.00000245660482	382
25.5	383
3.50007359809423	384
-15.5	385
-15	386
-5	387
4.49981424300657	388
16.9999834584477	389
2.50000071657885	390
-15.5	391
4.5	392
-19.4999975046911	393
-2.5	394
16.5	395
15.5	396
-6.50001302050131	397
-11	398
0.5	399
13	400
1.4210854715202e-14	401
16	402
-1.5	403
-15	404
0	405
-4.5	406
-7.5	407
4.5	408
15.5	409
0	410
-13	411
-2	412
0.500034974253694	413
-1.00001118366849	414
-5.99999999999999	415
-7.5	416
4.49981424300657	417
9.49999999999999	418
2.00003010768586	419
-10.5	420
-17.5	421
-0.5	422
-2	423
0.500088171265887	424
1	425
1	426
-21.4999640903608	427
21	428
-0.5	429
-12.5	430
12	431
17.5	432
30	433
-14.5	434
-1	435
0.5	436
-13.5	437
-5.5	438
-13.5	439
-2.99998032854114	440
-24.500009829202	441
1.5	442
13.4999945282072	443
10.5	444
23	445
-6.5	446
-20	447
-1	448
0	449
18.0000105312878	450
2	451
-6.5	452
-4.50002898370894	453
-17.5	454
20	455
-15.0000148795752	456
0	457
23.999984771213	458
-2.49998162605573	459
-14	460
-5	461
-9.50005971925899	462
15	463
-11	464
27.5	465
4.5	466
8	467
-3	468
0	469
-7.00011909917887	470
2	471
-5.00002990675142	472
-5.5	473
7.99999999999999	474
-23.0000329543193	475
-15.5	476
-15.5	477
-37.0000208650048	478
15.0000148795752	479
6.49999999999999	480
-13	481
22.999921391027	482
29.0000302887264	483
-27.4999978586954	484
-18.0000105312878	485
-5.5	486
4.00005116563565	487
1	488
-2	489
-10.5	490
1.5	491
1.5	492
-7	493
-1	494
22	495
-6.49999999999999	496
-5	497
-23.5	498
-1	499
22.5	500
9.99998778895221	501
-3.99993442491017	502
-6.49999780512296	503
-11	504
1.4998621076198	505
17.5	506
-15.5	507
15	508
-2.00003010768586	509
-28.4999932802479	510
5.00002990675142	511
-4.5	512
22	513
2	514
-2.99999360221153	515
-8.00000373664314	516
-13	517
13	518
-19.5	519
-15	520
-11	521
15	522
13.5	523
20	524
-15	525
-6.99999699960253	526
14	527
30	528
-22.0000201505088	529
-29	530
-13	531
12.4999955383844	532
9.99998778895221	533
9	534
23.9999771592673	535
-14	536
-37.0000303172872	537
-27.5	538
11.5	539
-4.5	540
18.5	541
5	542
-11	543
22	544
15.5	545
1.00001118366849	546
6.99998112767999	547
1	548
-1.5	549
-4	550
18	551
-5.5	552
2.00000088964151	553
12	554
-1	555
2	556
-2.99999360221153	557
0.5	558
-14	559
10.5	560
-24.5	561
0.999938837546395	562
1.49998884922465	563
16.5	564
-26	565
14.5	566
19.4999975046911	567
8.5	568
7.5	569
3.5	570
22.0000201505088	571
9.49998751728731	572
-4.5	573
4.5	574
-24.5	575
15	576
8.99990302159779	577
-14.5	578
3	579
7	580
-8	581
-27.5	582
22.9999751699735	583
-15.5	584
-15.5	585
4.49998872707216	586
10.500096669991	587
21.5	588
-2	589
-5	590
-17	591
-4.5	592
-37.0000208650048	593
-17.5	594
6.49987468053892	595
-1	596
-0.5	597
-8	598
1.49998884922465	599
-19.5	600
-16.5	601
-30	602
-8.5	603
-22.5001763707944	604
-1.4998621076198	605
4	606
-15	607
7.5	608
10.5	609
6.99999699960253	610
-2.00000088964151	611
-8.5	612
0	613
-15	614
0.5	615
15	616
2.99998032854114	617
0	618
-22	619
21.4999640903608	620
-4.00005116563565	621
-5.5	622
-15	623
-12	624
10	625
-8.50009389678706	626
9.5	627
-1	628
-6.4999756727467	629
-0.999759122336371	630
4	631
-12	632
12.5	633
-37.0000303172872	634
1.5	635
10.5	636
3.50007359809423	637
14.5	638
27.5000442049416	639
-15.5	640
3.5	641
2	642
1.5	643
0.5	644
-25.5	645
0.499992882302024	646
-9	647
15	648
2	649
3.50000637832521	650
0.5	651
-27.5	652
4.50000000000001	653
-12.5	654
17	655
-4.49998872707216	656
-23.5000833100451	657
6	658
10.5	659
8	660
-5	661
-24	662
-2.99991755032462	663
10	664
24.500009829202	665
-16.5	666
0.5	667
-15	668
-2.99991755032462	669
13.4999945282072	670
-17.5	671
-2.50000071657885	672
-2	673
-8.00000373664314	674
2	675
-3.99999171180292	676
15	677
9.50012778725049	678
14	679
-11.5040519643418	680
-28	681
23	682
8.5	683
-8.5	684
15	685
-21.5000150581083	686
11	687
-18.5	688
-9.5	689
-20.9999951731275	690
-7	691
-18.5	692
-5.5	693
2	694
4.5	695
2.50000000000003	696
14.5000111836685	697
-10.0014500017257	698
13.5	699
26.5	700
-11	701
1	702
6.4999954826946	703
17	704
-15	705
28	706
16.5	707
-9.5	708
5.5	709
-2	710
11.5	711
27	712
8.49998950068229	713
-10.5	714
17	715
13.4999945282072	716
20	717
9.99998778895221	718
-2.50000071657885	719
25.5	720
13.5	721
-1.5	722
-13.5	723
13.5	724
27.5	725
12.5	726
-0.5	727
9	728
-27	729
0.5	730
-14.5	731
-15.5	732
-21	733
3.99993442491017	734
-2.5	735
-14.5	736
4	737
-9.50000373857513	738
-5.5	739
-15	740
-14.5	741
-4.00005116563565	742
-22.9999751699735	743
-9.50012778725049	744
-15	745
14	746
-15.5000041670958	747
-15.5	748
18.0000155677585	749
-3.50000637832521	750
2.5	751
15.5	752
-6.37679376325195e-06	753
-5	754
14	755
16	756
9.5	757
5.99999999999999	758
27.5000442049416	759
10.0014500017257	760
-2	761
-10.5	762
-4.5	763
-8.99990302159779	764
-22.5	765
18.5	766
-15	767
20.5	768
10.500096669991	769
7	770
0.5	771
-21.5	772
-4.5	773
-9.5	774
-1	775
15.5	776
9.50012778725049	777
-3	778
-27.5	779
14.5	780
12	781
7.50000000000001	782
5.5	783
-11.5040519643418	784
23.5	785
-2.5	786
4.5	787
-7.5	788
0.5	789
18.5	790
-12	791
-6.5	792
13.5	793
-11.9998479908593	794
0.5	795
25.5	796
0.5	797
4	798
11	799
2.99998718659148	800
1.5	801
7.00008630496541	802
26.4999834205847	803
-10.5	804
-15.5	805
-14	806
-1.5	807
-4.50000000000001	808
-18.1167508867143	809
18.0000105312878	810
-4.49998872707216	811
1.5	812
10	813
-19	814
-19	815
-31.5	816
13.5	817
14.5	818
8	819
23.0000329543193	820
13.4999945282072	821
-15.5	822
23.999984771213	823
-9.5	824
9.49998159012746	825
22	826
-19.5	827
20	828
15	829
-3.99993442491017	830
-26.0000634541683	831
11	832
0	833
-2.99999360221153	834
33.0000195300911	835
-2.00003010768586	836
4	837
-16	838
-11.5	839
6.5	840
-20.5	841
-5	842
-1.5	843
21	844
-9.5	845
-9.49999999999999	846
-9.49993883754644	847
8.00006590863862	848
1	849
-10.9999676758301	850
20.5	851
23.999984771213	852
-4	853
-3.00015987144823	854
20.0001163182626	855
-0.499990828406524	856
-14.5	857
-3.99993442491017	858
-3.50007359809423	859
0.5	860
-8.5	861
19.5	862
1.4210854715202e-14	863
-9.00001147051429	864
-19.5	865
-3.5	866
-8.99999999999999	867
15.5	868
-4.50000000000001	869
9.5	870
27.5	871
0	872
-9	873
11.0000393931495	874
-29	875
20.5	876
19.5	877
-27	878
-3.99998274163772	879
2	880
1.5	881
-29	882
33.0000195300911	883
-5.50001110600459	884
7.00011909917887	885
-15	886
-12	887
9.5	888
19.5	889
10	890
0	891
22	892
3.49999413793367	893
-28.4999932802479	894
2	895
-8.5	896
-3.99999171180292	897
27	898
-26.5000191330976	899
1.5	900
27.5	901
-5.5	902
-14.5	903
16.5	904
0.499990828406524	905
-19.5	906
-1.5	907
18.5	908
22.0000017005146	909
-8.99999999999999	910
-20.5	911
-21.5013842486181	912
10	913
-7.00011909917887	914
-19.5	915
6.5	916
-12	917
-6.5	918
13.5	919
21	920
-0.500088171265887	921
-28.5000804969482	922
-9.49999999999999	923
-15.4999825005091	924
-4.5	925
6.61675088671431	926
9.50000373857513	927
15.5	928
-4.50002898370894	929
19.5	930
-3.49999413793367	931
8	932
-5	933
-18.5	934
-26.4999834205847	935
-37.0000208650048	936
-17.5	937
28	938
18.5	939
-7.50001119943602	940
-14.5000111836685	941
18.1167508867143	942
8.5	943
-4.5	944
11.9999991020648	945
-16.5	946
32	947
4.00000000000001	948
23	949
-0.999988810506679	950
-1	951
-0.999994379058194	952
-4.5	953
29.5	954
-7	955
0.5	956
5.5	957
12.5	958
7	959
2	960
-6.49987468053892	961
1	962
-3.49999999999999	963
-4.5	964
-8.99999999999999	965
14	966
-0.999759122336371	967
0.5	968
-7.5	969
-24.500009829202	970
14.5	971
16.5	972
-25.5	973
-26.5	974
-2	975
-22.999921391027	976
21	977
11	978
-8.5	979
-13.5	980
16	981
-11	982
-2.99998946871217	983
1.5	984
0.499990828406524	985
-25.5	986
-6	987
10	988
-2	989
-12	990
9	991
-9	992
-22.0000728406849	993
-8.5	994
6.00004335620052	995
-0.5	996
-16.5	997
15	998
0.5	999
0	1000
