deltaAUC	iteration
-1705.16561815765	1
-8084.58717333533	2
6722.02321148056	3
-15835.9898623582	4
16148.9266332333	5
-5389.50262599235	6
7851.49941844669	7
7651.95936137794	8
6556.38105745524	9
-8531.56950916885	10
-1232.78866488592	11
-8548.53740878794	12
-3981.49243038697	13
12739.0456345849	14
1005.51586190329	15
-5941.4513645709	16
-5343.52150209067	17
9372.93444596602	18
-8192.68637283226	19
17899.028467003	20
22707.4883590637	21
-2945.52239733582	22
-1739.96548638741	23
-3941.34670777639	24
-791.565372969308	25
-14652.5257530712	26
-2265.89068662321	27
4411.97025130378	28
485.67229402098	29
586.489921796878	30
-5944.94696107126	31
4935.08503483128	32
3537.40927114197	33
-4906.28174022785	34
18236.98609991	35
9312.50326263633	36
-3529.44646803786	37
-1305.00643961332	38
-12941.0288872053	39
-17821.0237921755	40
-19284.5509555153	41
-13190.5007102459	42
-7511.96327574635	43
-15057.5113245666	44
2847.4675507155	45
-10272.0921192259	46
-9202.12649993818	47
-8174.8780993149	48
3670.04249220057	49
9376.02967844728	50
-4604.98655909167	51
5882.02690501051	52
10299.987000369	53
8833.54619015768	54
-19521.5080318128	55
2314.03487647004	56
15476.0124845887	57
-645.377832405684	58
642.44087356297	59
-4646.491351456	60
10970.9656930121	61
-3282.50886415262	62
-688.908267134182	63
17270.0686016475	64
11951.5199787144	65
10855.9947005779	66
11935.466535139	67
-658.49397302018	68
-801.048496266762	69
-14687.469237984	70
-8089.49907435024	71
196.509372098175	72
8216.04496959968	73
-6785.507440353	74
-107.347851784958	75
-6857.52451311964	76
-2913.57704826758	77
3557.00458205596	78
-7742.03026212181	79
3793.38937024128	80
2236.08989122004	81
11067.5441636889	82
15581.9956879548	83
-7647.89303122598	84
2073.98597149415	85
-7689.93917630777	86
1024.0186646377	87
7788.55973702129	88
-1248.01412795342	89
-6202.63153605215	90
7111.06546092152	91
4886.06840448525	92
9674.00931547836	93
9898.50783885595	94
-7060.42924157513	95
7215.07066963084	96
3923.82218275283	97
4496.4786058064	98
8718.42572197135	99
-6070.52414553372	100
2068.35117846636	101
6456.0041301068	102
9312.01648601291	103
16015.0361856523	104
-15833.5323408994	105
-7579.47372731499	106
-2312.02852526808	107
5019.66335683876	108
3968.50332698435	109
11007.4749933406	110
-6774.97958675466	111
-5690.14765554626	112
-2209.49850158382	113
-4239.95528681404	114
-9443.61088044762	115
9165.41981160901	116
-3725.45542662303	117
289.487988446795	118
7815.48976959581	119
-5660.47953923568	120
10083.7415379052	121
-2106.02960261493	122
12784.4854633485	123
-1660.49328678862	124
-7083.56573483011	125
12730.4990232753	126
-3029.9936056759	127
-2162.01252797472	128
549.870658423068	129
3172.09407072451	130
-16962.0091936009	131
-5263.4815515696	132
-8812.99452037107	133
-2989.99997964966	134
12420.4335856553	135
-15587.0850146559	136
-19448.0028510697	137
5055.44977459266	138
-3124.53419445342	139
2910.06241209297	140
-9455.98302800929	141
-5263.68339741878	142
-2537.34869616963	143
-4621.40686841985	144
-1447.3758871111	145
-7778.50414861391	146
-22005.5135635729	147
8313.51361735302	148
3244.47991894736	149
-7472.18883592349	150
-9664.47480277174	151
1909.55766633988	152
1194.10831900044	153
-20456.5043600088	154
7201.94164576425	155
-3631.95281912036	156
4063.03927893885	157
-1611.95347889751	158
-3371.05033205093	159
-1908.5238293336	160
-13827.5228185149	161
6464.20575070595	162
-2170.69388864876	163
1721.97242452048	164
7116.51849119042	165
17221.5061323447	166
1970.00886373351	167
-2489.29130012554	168
24293.9624271216	169
1811.99934828603	170
7456.61793419004	171
-14448.8809188366	172
-11156.5868549496	173
733.789521690072	174
-2826.58727060851	175
-3282.51890715082	176
-12796.059766059	177
2236.61553491993	178
-7481.61073713339	179
1253.50814286755	180
2453.30371758938	181
-15323.1972361079	182
-11246.2409672037	183
5254.01731570644	184
-18980.841388132	185
-14387.9470486162	186
-10883.040081067	187
4941.45389501186	188
-1380.36267545381	189
2506.85245157273	190
