"","SGB","Treatment","Remission","n"
"1","t__SGB10068","FMT","NoRes",1
"2","t__SGB14341","FMT","Res",1
"3","t__SGB14546_group","FMT","Res",1
"4","t__SGB14980_group","FMT","Res",1
"5","t__SGB14993_group","FMT","Res",1
"6","t__SGB15090","FMT","NoRes",1
"7","t__SGB15180","FMT","NoRes",1
"8","t__SGB15180","FMT","Res",1
"9","t__SGB15236","FMT","NoRes",1
"10","t__SGB15286","FMT","Res",1
"11","t__SGB15317","FMT","Res",1
"12","t__SGB15318_group","FMT","Res",1
"13","t__SGB15342","FMT","Res",1
"14","t__SGB15368","FMT","Res",2
"15","t__SGB15374","FMT","Res",1
"16","t__SGB1585","FMT","Res",1
"17","t__SGB1699","FMT","NoRes",1
"18","t__SGB1699","FMT","Res",3
"19","t__SGB17278","Placebo","Res",1
"20","t__SGB1812","FMT","NoRes",1
"21","t__SGB1812","FMT","Res",1
"22","t__SGB1830_group","FMT","Res",1
"23","t__SGB1836_group","FMT","NoRes",1
"24","t__SGB1836_group","FMT","Res",1
"25","t__SGB1867","FMT","Res",1
"26","t__SGB1877","FMT","NoRes",2
"27","t__SGB1877","FMT","Res",1
"28","t__SGB1878","FMT","Res",1
"29","t__SGB2290","FMT","Res",1
"30","t__SGB2328","FMT","Res",1
"31","t__SGB4198_group","FMT","Res",1
"32","t__SGB4269","FMT","Res",1
"33","t__SGB4327_group","FMT","Res",1
"34","t__SGB4348","FMT","Res",2
"35","t__SGB4421","FMT","Res",1
"36","t__SGB4552_group","FMT","Res",1
"37","t__SGB4553","FMT","NoRes",1
"38","t__SGB4557","FMT","NoRes",1
"39","t__SGB4575","FMT","Res",2
"40","t__SGB4577_group","FMT","Res",1
"41","t__SGB4582_group","FMT","NoRes",1
"42","t__SGB4582_group","FMT","Res",2
"43","t__SGB4782","FMT","Res",1
"44","t__SGB4809","FMT","Res",1
"45","t__SGB4810","FMT","Res",1
"46","t__SGB4811_group","FMT","Res",1
"47","t__SGB4826_group","FMT","Res",1
"48","t__SGB4837_group","FMT","Res",2
"49","t__SGB4871_group","FMT","Res",1
"50","t__SGB4874","FMT","Res",2
"51","t__SGB4933_group","FMT","Res",1
"52","t__SGB4940","FMT","Res",1
"53","t__SGB4964","FMT","Res",1
"54","t__SGB5042","FMT","Res",1
"55","t__SGB5765_group","FMT","Res",1
"56","t__SGB6148","FMT","NoRes",1
"57","t__SGB6148","FMT","Res",2
"58","t__SGB6148","Placebo","NoRes",1
"59","t__SGB6317","FMT","Res",1
"60","t__SGB6438","FMT","Res",1
"61","t__SGB6754","FMT","Res",1
"62","t__SGB6806_group","FMT","Res",2
