user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
bin.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1810;f__UMGS1810;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_900555295.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__UMGS1810;f__UMGS1810;g__UMGS1810;s__UMGS1810 sp900555295	78.5	0.06	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	34.27	11	0.7357454376454369	N/A
bin.10	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003480315	GCF_003480315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003480315	96.95	0.9	GCF_003480315.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__UBA9502 sp003480315	96.95	0.9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA9502;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003478505.1, s__UBA9502 sp003478505, 95.0, 89.44, 0.83; GCF_003481985.1, s__UBA9502 sp003506385, 95.0, 87.48, 0.8; GCF_003481825.1, s__UBA9502 sp003481825, 95.0, 85.76, 0.78; GCA_900555625.1, s__UBA9502 sp900555625, 95.0, 77.84, 0.19; GCA_900540335.1, s__UBA9502 sp900540335, 95.0, 77.52, 0.21; GCA_900538475.1, s__UBA9502 sp900538475, 95.0, 77.09, 0.18; GCA_004554205.1, s__UBA9502 sp004554205, 95.0, 77.01, 0.16; GCF_003611875.1, s__UBA9502 sp003611875, 95.0, 76.87, 0.12; GCF_003669055.1, s__UBA9502 sp003669055, 95.0, 75.96, 0.14	20.52	11	N/A	N/A
bin.100	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__CAG-448 sp003150135	GCA_003150135.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__CAG-448 sp003150135	98.3	0.83	GCA_003150135.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__CAG-448 sp003150135	98.3	0.83	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000433415.1, s__CAG-448 sp000433415, 95.0, 79.0, 0.1; GCA_002315325.1, s__CAG-448 sp002315325, 95.0, 76.15, 0.02	60.12	11	N/A	N/A
bin.101	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp000433735	GCA_000433735.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp000433735	99.07	0.95	GCA_000433735.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__Eubacterium_F sp000433735	99.07	0.95	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_003477605.1, s__Eubacterium_F sp003491505, 95.0, 78.3, 0.22; GCA_002431395.1, s__Eubacterium_F sp002431395, 95.0, 77.46, 0.13; GCA_000434115.1, s__Eubacterium_F sp000434115, 95.0, 77.36, 0.13; GCA_900539115.1, s__Eubacterium_F sp900539115, 95.0, 77.35, 0.14; GCA_900319095.1, s__Eubacterium_F sp900319095, 95.0, 77.34, 0.13; GCA_002435545.1, s__Eubacterium_F sp002435545, 95.0, 77.06, 0.12; GCA_002362575.1, s__Eubacterium_F sp002362575, 95.0, 76.98, 0.13; GCF_000518685.1, s__Eubacterium_F xylanophilum, 95.0, 76.84, 0.08; GCA_002490465.1, s__Eubacterium_F sp002490465, 95.0, 76.53, 0.1; GCA_900318295.1, s__Eubacterium_F sp900318295, 95.0, 76.24, 0.03; GCA_003453515.1, s__Eubacterium_F sp003453515, 95.0, 76.1, 0.02; GCF_000687695.1, s__Eubacterium_F sp000687695, 95.0, 75.68, 0.04	82.28	11	N/A	N/A
bin.102	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	GCF_002834235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	97.48	0.88	GCF_002834235.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__Ruminococcus_E bromii_B	97.48	0.88	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_E;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002834225.1, s__Ruminococcus_E bromii, 95.0, 95.04, 0.8; GCF_003438075.1, s__Ruminococcus_E sp003438075, 95.0, 80.85, 0.44; GCA_003521625.1, s__Ruminococcus_E sp003521625, 95.0, 80.52, 0.42; GCA_002491825.1, s__Ruminococcus_E sp002491825, 95.0, 80.42, 0.39; GCA_003526955.1, s__Ruminococcus_E sp003526955, 95.0, 80.05, 0.39; GCA_002493005.1, s__Ruminococcus_E sp002493005, 95.0, 79.75, 0.36; GCA_900319615.1, s__Ruminococcus_E sp900319615, 95.0, 79.69, 0.02; GCA_002493635.1, s__Ruminococcus_E sp002493635, 95.0, 79.36, 0.34; GCF_900101355.1, s__Ruminococcus_E bromii_A, 95.0, 79.35, 0.35; GCA_900543095.1, s__Ruminococcus_E sp900543095, 95.0, 79.03, 0.33; GCF_900100595.1, s__Ruminococcus_E sp900100595, 95.0, 78.44, 0.12; GCA_900315085.1, s__Ruminococcus_E sp900315085, 95.0, 78.42, 0.21; GCA_900316435.1, s__Ruminococcus_E sp900316435, 95.0, 78.13, 0.17; GCA_900315605.1, s__Ruminococcus_E sp900315605, 95.0, 78.12, 0.24; GCA_004560275.1, s__Ruminococcus_E sp004560275, 95.0, 77.96, 0.22; GCA_900318495.1, s__Ruminococcus_E sp900318495, 95.0, 77.93, 0.24; GCA_900315195.1, s__Ruminococcus_E sp900315195, 95.0, 77.9, 0.21; GCA_900315785.1, s__Ruminococcus_E sp900315785, 95.0, 77.67, 0.14; GCA_900316555.1, s__Ruminococcus_E sp900316555, 95.0, 77.67, 0.14; GCA_900314795.1, s__Ruminococcus_E sp900314795, 95.0, 77.54, 0.04; GCA_900316385.1, s__Ruminococcus_E sp900316385, 95.0, 77.48, 0.12; GCA_003520555.1, s__Ruminococcus_E sp003520555, 95.0, 77.44, 0.14; GCA_900319655.1, s__Ruminococcus_E sp900319655, 95.0, 77.38, 0.19; GCA_002350765.1, s__Ruminococcus_E sp002350765, 95.0, 77.26, 0.11; GCA_900317875.1, s__Ruminococcus_E sp900317875, 95.0, 77.1, 0.13; GCF_005601135.1, s__Ruminococcus_E sp900314705, 95.0, 76.9, 0.14; GCA_900318905.1, s__Ruminococcus_E sp900318905, 95.0, 76.75, 0.13; GCA_900316815.1, s__Ruminococcus_E sp900316815, 95.0, 76.67, 0.07; GCA_900320995.1, s__Ruminococcus_E sp900320995, 95.0, 76.57, 0.03; GCA_900317595.1, s__Ruminococcus_E sp900317595, 95.0, 76.48, 0.06; GCA_900317315.1, s__Ruminococcus_E sp900317315, 95.0, 76.25, 0.08; GCA_900320415.1, s__Ruminococcus_E sp900320415, 95.0, 76.22, 0.06; GCA_900313895.1, s__Ruminococcus_E sp900313895, 95.0, 76.18, 0.02; GCA_003499325.1, s__Ruminococcus_E sp003499325, 95.0, 76.17, 0.02; GCA_900315815.1, s__Ruminococcus_E sp900315815, 95.0, 76.05, 0.02; GCA_002353935.1, s__Ruminococcus_E sp002353935, 95.0, 75.92, 0.06; GCA_002394725.1, s__Ruminococcus_E sp002394725, 95.0, 75.82, 0.02; GCA_900313865.1, s__Ruminococcus_E sp900313865, 95.0, 74.76, 0.01	57.66	11	N/A	N/A
bin.104	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp900557165	GCA_900557165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp900557165	98.86	0.81	GCA_900557165.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp900557165	98.86	0.81	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000808015.1, s__Terrisporobacter othiniensis, 95.0, 83.53, 0.69; GCF_000439105.1, s__Terrisporobacter glycolicus, 95.0, 83.14, 0.67; GCF_900114105.1, s__Terrisporobacter glycolicus_A, 95.0, 82.98, 0.67	72.7	11	N/A	N/A
bin.107	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_H;s__Ruminococcus_H sp003531055	GCA_003531055.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_H;s__Ruminococcus_H sp003531055	97.67	0.87	GCA_003531055.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_H;s__Ruminococcus_H sp003531055	97.67	0.87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcus_H;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900552925.1, s__Ruminococcus_H sp900552925, 95.0, 80.15, 0.54; GCA_004555625.1, s__Ruminococcus_H bromii_A, 95.0, 80.05, 0.55; GCA_900549945.1, s__Ruminococcus_H sp900549945, 95.0, 79.74, 0.48; GCA_002305575.1, s__Ruminococcus_H sp002305575, 95.0, 78.88, 0.38	98.79	11	N/A	N/A
bin.108	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp004556705	GCA_004556705.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp004556705	95.67	0.94	GCA_004556705.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__CAG-180 sp004556705	95.67	0.94	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-180;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900315985.1, s__CAG-180 sp900315985, 95.0, 78.24, 0.35; GCA_002490425.1, s__CAG-180 sp002490425, 95.0, 77.72, 0.24; GCA_002361875.1, s__CAG-180 sp002361875, 95.0, 77.64, 0.19; GCA_000432435.1, s__CAG-180 sp000432435, 95.0, 77.19, 0.23; GCA_002437245.1, s__CAG-180 sp002437245, 95.0, 76.84, 0.21; GCA_900540295.1, s__CAG-180 sp900540295, 95.0, 76.48, 0.1; GCA_002490525.1, s__CAG-180 sp002490525, 95.0, 75.97, 0.09; GCA_002314305.1, s__CAG-180 sp002314305, 95.0, 75.93, 0.02; GCA_004555265.1, s__CAG-180 sp004555265, 95.0, 75.66, 0.09; GCA_900545625.1, s__CAG-180 sp900545625, 95.0, 75.31, 0.04	66.19	11	N/A	N/A
bin.109	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp900549705	GCA_900549705.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp900549705	97.31	0.84	GCA_900549705.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__CAG-110 sp900549705	97.31	0.84	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900549495.1, s__CAG-110 sp900549495, 95.0, 82.34, 0.45; GCA_900553805.1, s__CAG-110 sp900553805, 95.0, 80.61, 0.46; GCA_900540635.1, s__CAG-110 sp900540635, 95.0, 79.11, 0.32; GCA_900544945.1, s__CAG-110 sp900544945, 95.0, 78.82, 0.29; GCA_900546075.1, s__CAG-110 sp900546075, 95.0, 78.8, 0.26; GCA_900556935.1, s__CAG-110 sp900556935, 95.0, 78.68, 0.28; GCA_900547405.1, s__CAG-110 sp900547405, 95.0, 78.63, 0.28; GCA_002437585.1, s__CAG-110 sp002437585, 95.0, 78.58, 0.27; GCA_000434635.1, s__CAG-110 sp000434635, 95.0, 78.56, 0.28; GCA_004555705.1, s__CAG-110 sp004555705, 95.0, 78.34, 0.25; GCA_002436765.1, s__CAG-110 sp002436765, 95.0, 78.34, 0.27; GCA_004562395.1, s__CAG-110 sp004562395, 95.0, 78.1, 0.23; GCA_002362625.1, s__CAG-110 sp002362625, 95.0, 78.08, 0.19; GCA_002362145.1, s__CAG-110 sp002362145, 95.0, 78.07, 0.2; GCA_900544405.1, s__CAG-110 sp900544405, 95.0, 78.07, 0.19; GCA_900554625.1, s__CAG-110 sp900554625, 95.0, 77.86, 0.18; GCA_002493965.1, s__CAG-110 sp002493965, 95.0, 77.38, 0.23; GCA_900544975.1, s__CAG-110 sp900544975, 95.0, 76.94, 0.13; GCA_900545515.1, s__CAG-110 sp000435995, 95.0, 76.73, 0.11; GCA_900546915.1, s__CAG-110 sp900546915, 95.0, 76.7, 0.07; GCA_002372735.1, s__CAG-110 sp002372735, 95.0, 76.48, 0.09; GCA_900544705.1, s__CAG-110 sp900544705, 95.0, 76.42, 0.07; GCA_900316335.1, s__CAG-110 sp900316335, 95.0, 76.35, 0.09; GCA_900554705.1, s__CAG-110 sp900554705, 95.0, 76.2, 0.04; GCA_003525905.1, s__CAG-110 sp003525905, 95.0, 75.99, 0.07; GCA_900551495.1, s__CAG-110 sp900551495, 95.0, 75.98, 0.06; GCA_900546415.1, s__CAG-110 sp900546415, 95.0, 75.9, 0.05; GCA_004556205.1, s__CAG-110 sp004556205, 95.0, 75.69, 0.04; GCA_900548795.1, s__CAG-110 sp900548795, 95.0, 75.66, 0.05; GCA_900315595.1, s__CAG-110 sp900315595, 95.0, 75.63, 0.06	58.15	11	N/A	N/A
bin.11	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	GCF_000153905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	98.16	0.87	GCF_000153905.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A obeum	98.16	0.87	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900066355.1, s__Blautia_A sp900066355, 95.0, 83.11, 0.68; GCF_900120195.1, s__Blautia_A sp900120195, 95.0, 83.0, 0.65; GCA_000210015.1, s__Blautia_A obeum_B, 95.0, 82.7, 0.67; GCF_003461245.1, s__Blautia_A sp000436615, 95.0, 82.02, 0.59; GCA_900548245.1, s__Blautia_A sp900548245, 95.0, 81.31, 0.49; GCA_900551715.1, s__Blautia_A sp900551715, 95.0, 80.8, 0.46; GCA_900066205.1, s__Blautia_A sp900066205, 95.0, 79.18, 0.31; GCF_003477525.1, s__Blautia_A sp003477525, 95.0, 79.18, 0.32; GCF_003471165.1, s__Blautia_A sp003471165, 95.0, 78.94, 0.33; GCF_000484655.1, s__Blautia_A wexlerae, 95.0, 78.88, 0.31; GCF_003478765.1, s__Blautia_A sp003478765, 95.0, 78.86, 0.29; GCF_003480185.1, s__Blautia_A sp003480185, 95.0, 78.78, 0.33; GCF_003474435.1, s__Blautia_A sp003474435, 95.0, 78.75, 0.3; GCF_003480145.1, s__Blautia_A sp900066165, 95.0, 78.71, 0.26; GCA_000285855.2, s__Blautia_A sp000285855, 95.0, 78.64, 0.29; GCA_900541985.1, s__Blautia_A sp900541985, 95.0, 78.63, 0.29; GCF_003461955.1, s__Blautia_A sp900066335, 95.0, 78.63, 0.28; GCF_001487165.1, s__Blautia_A massiliensis, 95.0, 78.62, 0.3; GCF_005844445.1, s__Blautia_A sp000433815, 95.0, 78.47, 0.31; GCA_900553515.1, s__Blautia_A sp900553515, 95.0, 78.31, 0.27; GCA_900551465.1, s__Blautia_A sp900551465, 95.0, 78.28, 0.3; GCF_003460605.1, s__Blautia_A sp900066145, 95.0, 78.18, 0.23; GCA_900316115.1, s__Blautia_A sp900316115, 95.0, 78.03, 0.19; GCA_900066505.1, s__Blautia_A sp900066505, 95.0, 77.87, 0.2; GCA_900549015.1, s__Blautia_A sp900549015, 95.0, 77.74, 0.16; GCA_900540785.1, s__Blautia_A sp900540785, 95.0, 77.73, 0.19; GCA_900547615.1, s__Blautia_A sp900547615, 95.0, 77.62, 0.15; GCA_900541345.1, s__Blautia_A sp900541345, 95.0, 77.59, 0.17; GCA_900551075.1, s__Blautia_A sp900551075, 95.0, 77.44, 0.22; GCF_000702025.1, s__Blautia_A schinkii, 95.0, 77.36, 0.13; GCF_002159835.1, s__Blautia_A sp002159835, 95.0, 76.94, 0.09; GCA_900542045.1, s__Blautia_A sp900542045, 95.0, 76.62, 0.08; GCF_000157975.1, s__Blautia_A hydrogenotrophica, 95.0, 76.36, 0.06	71.37	11	N/A	N/A
